pid,condition,trial_index,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad
33706,early_regret,1,1,4.011942666998948,0.2,0,2,2.937841082995874,0.2,0.7,0.5,0,357,2,3,1,worst
33706,early_regret,2,2,0.8584539159928681,0.7,1,NA,NA,0.2,0.7,0.5,1,357,2,3,1,best
33706,early_regret,3,2,0.6601284999924246,0.7,0,2,1.783138375001727,0.2,0.7,0.5,1,357,2,3,1,best
33706,early_regret,4,3,1.4769763329968555,0.5,0,3,1.3562910839973483,0.2,0.7,0.5,1,357,2,3,1,medium
33706,early_regret,5,1,0.8929890829895157,0.2,1,NA,NA,0.2,0.7,0.5,2,357,2,3,1,worst
33706,early_regret,6,2,0.6514379580039531,0.7,1,NA,NA,0.2,0.7,0.5,3,357,2,3,1,best
33706,early_regret,7,3,0.5675991659954889,0.5,0,3,1.5765238750027493,0.2,0.7,0.5,3,357,2,3,1,medium
33706,early_regret,8,2,0.6103529579995666,0.7,0,3,3.4302010829997016,0.2,0.7,0.5,3,357,2,3,1,best
33706,early_regret,9,1,0.41803229101060424,0.2,0,3,0.8769617920042947,0.2,0.7,0.5,3,357,2,3,1,worst
33706,early_regret,10,2,0.6070340420119464,0.7,1,NA,NA,0.2,0.7,0.5,4,357,2,3,1,best
33706,early_regret,11,2,0.3744715840002754,0.7,1,NA,NA,0.2,0.7,0.5,5,357,2,3,1,best
33706,early_regret,12,2,1.2528655829955824,0.7,0,2,0.5960022090002894,0.2,0.7,0.5,5,357,2,3,1,best
33706,early_regret,13,1,0.7458502919907914,0.2,0,3,0.9613476660015294,0.2,0.7,0.5,5,357,2,3,1,worst
33706,early_regret,14,3,0.5056540829973528,0.5,1,NA,NA,0.2,0.7,0.5,6,357,2,3,1,medium
33706,early_regret,15,1,0.3816012910101563,0.2,0,2,0.49356175000139046,0.2,0.7,0.5,6,357,2,3,1,worst
33706,early_regret,16,3,0.9688747089967364,0.5,1,NA,NA,0.2,0.7,0.5,7,357,2,3,1,medium
33706,early_regret,17,2,1.0908114580088295,0.7,0,2,1.0144040000013774,0.2,0.7,0.5,7,357,2,3,1,best
33706,early_regret,18,3,0.6933297920040786,0.5,0,2,1.3823388329910813,0.2,0.7,0.5,7,357,2,3,1,medium
33706,early_regret,19,1,1.0466524170042248,0.2,0,3,1.9539518340025095,0.2,0.7,0.5,7,357,2,3,1,worst
33706,early_regret,20,1,0.5179041660012444,0.2,0,3,1.1410905000084313,0.2,0.7,0.5,7,357,2,3,1,worst
33706,early_regret,21,2,0.3869367500010412,0.7,0,3,1.325171207994572,0.2,0.7,0.5,7,357,2,3,1,best
33706,early_regret,22,3,1.1021953330055112,0.5,1,NA,NA,0.2,0.7,0.5,8,357,2,3,1,medium
33706,early_regret,23,3,0.7667921660031425,0.5,0,2,0.8537929579906631,0.2,0.7,0.5,8,357,2,3,1,medium
33706,early_regret,24,2,0.6280161659960868,0.7,0,2,1.659005208988674,0.2,0.7,0.5,8,357,2,3,1,best
33706,early_regret,25,1,0.4236154579994036,0.2,0,3,0.7670698750007432,0.2,0.7,0.5,8,357,2,3,1,worst
33706,early_regret,26,2,0.7185764579917304,0.7,1,NA,NA,0.2,0.7,0.5,9,357,2,3,1,best
33706,early_regret,27,1,0.5843989579880144,0.2,0,2,0.9220996249932796,0.2,0.7,0.5,9,357,2,3,1,worst
33706,early_regret,28,2,0.4517108339932747,0.7,0,3,1.3153405409975676,0.2,0.7,0.5,9,357,2,3,1,best
33706,early_regret,29,3,0.9441268329974264,0.5,0,3,0.7041884999925969,0.2,0.7,0.5,9,357,2,3,1,medium
33706,early_regret,30,2,0.9016981669992674,0.7,1,NA,NA,0.2,0.7,0.5,10,357,2,3,1,best
33706,early_regret,31,2,0.6817422079911921,0.7,1,NA,NA,0.2,0.7,0.5,11,357,2,3,1,best
33706,early_regret,32,2,0.5241098340047756,0.7,1,NA,NA,0.2,0.7,0.5,12,357,2,3,1,best
33706,early_regret,33,2,0.5037912080006208,0.7,1,NA,NA,0.2,0.7,0.5,13,357,2,3,1,best
33706,early_regret,34,2,0.3477547910006251,0.7,1,NA,NA,0.2,0.7,0.5,14,357,2,3,1,best
33706,early_regret,35,2,0.8523970829992322,0.7,1,NA,NA,0.2,0.7,0.5,15,357,2,3,1,best
33706,early_regret,36,2,1.0977905409963569,0.7,1,NA,NA,0.2,0.7,0.5,16,357,2,3,1,best
33706,early_regret,37,2,0.7281724579952424,0.7,0,NA,NA,0.2,0.7,0.5,16,357,2,3,1,best
33706,early_regret,38,1,0.6465847500076052,0.2,0,NA,NA,0.2,0.7,0.5,16,357,2,3,1,worst
33706,early_regret,39,2,0.6776037910021842,0.7,0,NA,NA,0.2,0.7,0.5,16,357,2,3,1,best
33706,early_regret,40,3,0.5999109580006916,0.5,0,NA,NA,0.2,0.7,0.5,16,357,2,3,1,medium
33706,early_regret,41,2,0.4182762910058955,0.7,1,NA,NA,0.2,0.7,0.5,17,357,2,3,1,best
33706,early_regret,42,2,0.5826043749984819,0.7,0,NA,NA,0.2,0.7,0.5,17,357,2,3,1,best
33706,early_regret,43,1,0.5444152499985648,0.2,0,NA,NA,0.2,0.7,0.5,17,357,2,3,1,worst
33706,early_regret,44,3,1.2478689999989,0.5,0,NA,NA,0.2,0.7,0.5,17,357,2,3,1,medium
33706,early_regret,45,2,0.7845889589953003,0.7,1,NA,NA,0.2,0.7,0.5,18,357,2,3,1,best
33706,early_regret,46,2,0.3096534590004012,0.7,1,NA,NA,0.2,0.7,0.5,19,357,2,3,1,best
33706,early_regret,47,2,0.6563629169977503,0.7,1,NA,NA,0.2,0.7,0.5,20,357,2,3,1,best
33706,early_regret,48,2,0.4641472499934025,0.7,1,NA,NA,0.2,0.7,0.5,21,357,2,3,1,best
33706,early_regret,49,2,0.5379981669975678,0.7,0,NA,NA,0.2,0.7,0.5,21,357,2,3,1,best
33706,early_regret,50,2,0.49345387499488425,0.7,0,NA,NA,0.2,0.7,0.5,21,357,2,3,1,best
33706,early_regret,51,3,0.48818858299637213,0.5,0,NA,NA,0.2,0.7,0.5,21,357,2,3,1,medium
33706,early_regret,52,1,1.2068598330079112,0.2,0,NA,NA,0.2,0.7,0.5,21,357,2,3,1,worst
33706,early_regret,53,2,0.41077508400485385,0.7,1,NA,NA,0.2,0.7,0.5,22,357,2,3,1,best
33706,early_regret,54,2,0.4766844590049004,0.7,0,NA,NA,0.2,0.7,0.5,22,357,2,3,1,best
33706,early_regret,55,1,0.3602313339943066,0.2,0,NA,NA,0.2,0.7,0.5,22,357,2,3,1,worst
33706,early_regret,56,2,0.727792750010849,0.7,0,NA,NA,0.2,0.7,0.5,22,357,2,3,1,best
33706,early_regret,57,3,0.9615979169902856,0.5,0,NA,NA,0.2,0.7,0.5,22,357,2,3,1,medium
33706,early_regret,58,2,0.45340062500326894,0.7,1,NA,NA,0.2,0.7,0.5,23,357,2,3,1,best
33706,early_regret,59,1,0.4826718340045773,0.2,0,NA,NA,0.2,0.7,0.5,23,357,2,3,1,worst
33706,early_regret,60,2,0.8781085000082385,0.7,1,NA,NA,0.2,0.7,0.5,24,357,2,3,1,best
33775,early_regret,1,2,1.3874832919682376,0.7,0,1,3.838974291982595,0.5,0.7,0.2,24,357,2,1,3,best
