pid,trial_index,label,type,start,sac_sttime_rel,sac_entime_rel,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,end,fix_sttime_rel,fix_entime_rel,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration,i.end
33706,1,CHOICE_1,choice,1834,1790,1833,974.70001220703125,658.0999755859375,529.9000244140625,623.70001220703125,43,1833,1834,2487,532.9000244140625,624.20001220703125,542,617.70001220703125,653,2487
33706,1,CHOICE_1,choice,2526,2488,2525,542.20001220703125,617.70001220703125,866,642.29998779296875,37,2525,2526,2935,864.29998779296875,642.29998779296875,856,652.5,409,2935
33706,1,CHOICE_1,choice,2983,2936,2982,856,652.79998779296875,416.70001220703125,659.79998779296875,46,2982,2983,3270,420,660.70001220703125,433.20001220703125,659.5999755859375,287,3270
33706,1,CHOICE_1,choice,3494,3493,3493,856,652.79998779296875,416.70001220703125,659.79998779296875,0,3493,3494,3700,499.20001220703125,629.4000244140625,499.6000061035156,621.70001220703125,206,3700
33706,1,CHOICE_1,choice,3750,3701,3749,499.70001220703125,621.9000244140625,950.79998779296875,633.29998779296875,48,3749,3750,4457,951.20001220703125,632.20001220703125,964.29998779296875,619.5999755859375,707,4457
33706,1,CHOICE_1,choice,4503,4458,4502,964.5,619.4000244140625,488.3999938964844,605.0999755859375,44,4502,4503,5454,489.6000061035156,605.5,488.70001220703125,616.79998779296875,951,5454
33706,1,FEEDBACK_1,feedback,5492,5455,5491,488.79998779296875,616.9000244140625,421.8999938964844,406.8999938964844,36,5491,5492,5729,423,407.3999938964844,434.8999938964844,401.20001220703125,237,5729
33706,1,FEEDBACK_1,feedback,5771,5730,5770,435,400.8999938964844,878.5,643.20001220703125,40,5770,5771,6435,876.0999755859375,644.5999755859375,880.9000244140625,623.9000244140625,664,6435
33706,1,FEEDBACK_1,feedback,6756,6753,6755,807.79998779296875,573.0999755859375,808.0999755859375,573,2,6755,6756,7040,808.0999755859375,573.0999755859375,806.5999755859375,589.9000244140625,284,7040
33706,1,FEEDBACK_1,feedback,7066,7041,7065,806.79998779296875,589.5999755859375,933,625.0999755859375,24,7065,7066,7256,930.70001220703125,625.70001220703125,931.0999755859375,623.5,190,7256
33706,1,REGRET_1,regret,7300,7257,7299,931.29998779296875,623.9000244140625,917.0999755859375,967.20001220703125,42,7299,7300,7502,917.20001220703125,965.5999755859375,936.0999755859375,959.9000244140625,202,7502
33706,1,REGRET_1,regret,7539,7503,7538,936.20001220703125,959.4000244140625,711.9000244140625,1064.199951171875,35,7538,7539,7746,713.29998779296875,1064.199951171875,720.4000244140625,1067.9000244140625,207,7746
33706,1,REGRET_1,regret,7785,7747,7784,720.20001220703125,1067.9000244140625,1013.7000122070312,944.0999755859375,37,7784,7785,7951,1013.4000244140625,943.70001220703125,1022.5,940.79998779296875,166,7951
33706,1,REGRET_1,regret,7976,7952,7975,1022.5,941.0999755859375,927.29998779296875,1028.800048828125,23,7975,7976,8204,930.4000244140625,1030.800048828125,917.70001220703125,1048.0999755859375,228,8204
33706,1,REGRET_1,regret,8240,8205,8239,917.70001220703125,1047.800048828125,788.4000244140625,886.4000244140625,34,8239,8240,8739,789.5999755859375,886.70001220703125,794.5,875.5,499,8739
33706,1,REGRET_1,regret,8770,8740,8769,794.4000244140625,875.29998779296875,1023.4000244140625,887.70001220703125,29,8769,8770,9522,1023.9000244140625,887.9000244140625,1045.5,882.0999755859375,752,9522
33706,1,REGRET_1,regret,9537,9523,9536,1044.5,882.9000244140625,1049.300048828125,918.4000244140625,13,9536,9537,9791,1050.300048828125,918.79998779296875,1052.699951171875,915,254,9791
33706,1,REGRET_1,regret,9819,9792,9818,1052.5999755859375,915.20001220703125,912.20001220703125,977.29998779296875,26,9818,9819,10363,914.5,979.0999755859375,926.4000244140625,972.29998779296875,544,10363
33706,1,REGRET_1,regret,10401,10364,10400,926.29998779296875,972.4000244140625,959.5,701.5999755859375,36,10400,10401,10987,959.70001220703125,699.20001220703125,959.79998779296875,699.79998779296875,586,10987
33706,1,REGRET_1,regret,11016,10988,11015,959.79998779296875,700.0999755859375,845,589,27,11015,11016,11300,845.29998779296875,585.79998779296875,862.0999755859375,549.79998779296875,284,11300
33706,1,FIX_1,fixation,11324,11301,11323,861.70001220703125,550.70001220703125,939.9000244140625,611.5999755859375,22,11323,11324,11827,937.70001220703125,613.0999755859375,953.70001220703125,623.70001220703125,503,11827
33706,1,FIX_1,fixation,11846,11828,11845,953,623.9000244140625,937.0999755859375,663.20001220703125,17,11845,11846,12376,938.79998779296875,664.9000244140625,956.70001220703125,674.5,530,12376
33706,2,CHOICE_2,choice,12399,12377,12398,956.5999755859375,675.0999755859375,1026.800048828125,635.29998779296875,21,12398,12399,13548,1025.5,635.20001220703125,1016.5,632.70001220703125,1149,13548
33706,2,FEEDBACK_2,feedback,13669,13549,13668,1016.9000244140625,632.20001220703125,965.29998779296875,632.70001220703125,119,13668,13669,14590,965.20001220703125,609,965.20001220703125,623.4000244140625,921,14590
33706,2,FEEDBACK_2,feedback,14615,14591,14614,965.0999755859375,623.4000244140625,952.70001220703125,708.20001220703125,23,14614,14615,16188,955.0999755859375,710.4000244140625,964.70001220703125,727.5999755859375,1573,16188
33706,2,FIX_2,fixation,16205,16189,16204,964.4000244140625,727.20001220703125,963.0999755859375,684.20001220703125,15,16204,16205,16436,964.0999755859375,683.29998779296875,972.79998779296875,691,231,16436
33706,2,FIX_2,fixation,16456,16437,16455,972.29998779296875,690.70001220703125,952.4000244140625,689.0999755859375,18,16455,16456,17858,955,689.29998779296875,944.20001220703125,685.5,1402,17858
33706,3,FEEDBACK_3,feedback,17899,17859,17898,944.29998779296875,685.4000244140625,979.9000244140625,408.20001220703125,39,17898,17899,18147,980.70001220703125,408.3999938964844,985.70001220703125,413.29998779296875,248,18147
33706,3,FEEDBACK_3,feedback,18420,18148,18419,984.70001220703125,413.5,971.70001220703125,605.29998779296875,271,18419,18420,18769,972.0999755859375,605.29998779296875,978.20001220703125,607.5999755859375,349,18769
33706,3,FEEDBACK_3,feedback,18797,18770,18796,978.0999755859375,607.9000244140625,896.0999755859375,663.70001220703125,26,18796,18797,19032,898.4000244140625,663.0999755859375,935.5999755859375,682.5,235,19032
33706,3,FEEDBACK_3,feedback,19068,19033,19067,935.5999755859375,683.5999755859375,1019.7000122070312,625.20001220703125,34,19067,19068,19382,1019.5999755859375,625.79998779296875,1030.199951171875,639.5999755859375,314,19382
33706,3,FEEDBACK_3,feedback,19423,19383,19422,1030.5,639.5999755859375,857.5999755859375,659.70001220703125,39,19422,19423,19588,857.5,658.0999755859375,853.5,648.29998779296875,165,19588
33706,3,REGRET_3,regret,19626,19589,19625,853.0999755859375,647.79998779296875,971.4000244140625,653.0999755859375,36,19625,19626,20158,971.5999755859375,653.20001220703125,965.9000244140625,649.9000244140625,532,20158
33706,3,REGRET_3,regret,20218,20159,20217,966,650.0999755859375,940.79998779296875,1003.2000122070312,58,20217,20218,20357,940,1004.5999755859375,928.5999755859375,1019.5999755859375,139,20357
33706,3,REGRET_3,regret,20418,20358,20417,928.5,1019.5999755859375,935.9000244140625,562.5,59,20417,20418,22016,939.0999755859375,562.5999755859375,963.5999755859375,547.5,1598,22016
33706,3,REGRET_3,regret,22040,22017,22039,964.5,548.20001220703125,980.4000244140625,623.70001220703125,22,22039,22040,23450,979.5,625.9000244140625,971.70001220703125,648.4000244140625,1410,23450
33706,4,CHOICE_4,choice,23477,23451,23476,971.29998779296875,648.5,939.5,706.79998779296875,25,23476,23477,23753,941,706.5999755859375,947.5999755859375,690.5,276,23753
33706,4,CHOICE_4,choice,23806,23754,23805,947.79998779296875,690.70001220703125,1470,655.29998779296875,51,23805,23806,23985,1470.5999755859375,654.20001220703125,1482.0999755859375,653.4000244140625,179,23985
33706,4,CHOICE_4,choice,24013,23986,24012,1481.9000244140625,653.20001220703125,1297.699951171875,606.29998779296875,26,24012,24013,24622,1300.5999755859375,606.5999755859375,1345.300048828125,619.20001220703125,609,24622
33706,4,CHOICE_4,choice,24650,24623,24649,1345.300048828125,618.5999755859375,1509.4000244140625,661.70001220703125,26,24649,24650,25575,1510,662.20001220703125,1503,650.79998779296875,925,25575
33706,4,FEEDBACK_4,feedback,25622,25576,25621,1502.800048828125,651.0999755859375,975.79998779296875,625.4000244140625,45,25621,25622,26153,979,625.70001220703125,1005,601.4000244140625,531,26153
33706,4,FEEDBACK_4,feedback,26490,26487,26489,957.4000244140625,578.0999755859375,957.29998779296875,578.5,2,26489,26490,27024,957.20001220703125,578.4000244140625,951.79998779296875,612.5999755859375,534,27024
33706,4,REGRET_4,regret,27067,27025,27066,952,612.70001220703125,924.9000244140625,950.79998779296875,41,27066,27067,27332,924.5,948.29998779296875,932.70001220703125,951.29998779296875,265,27332
33706,4,REGRET_4,regret,27381,27333,27380,932.5999755859375,951.5,1019.5999755859375,585.9000244140625,47,27380,27381,29962,1022.2999877929688,584.5999755859375,1041.5999755859375,562.0999755859375,2581,29962
33706,4,FIX_4,fixation,29984,29963,29983,1041.699951171875,562.20001220703125,982.5999755859375,586.79998779296875,20,29983,29984,34097,983.79998779296875,587.70001220703125,1017.0999755859375,627.4000244140625,4113,34097
33706,5,REGRET_5,regret,34105,34098,34104,1015.5999755859375,629.5999755859375,1005.5,635.0999755859375,6,34104,34105,34135,1004,637,1001.4000244140625,640.70001220703125,30,34135
