thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,text.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,pointsText1.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYouMessage.stopped,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.0690269999904558,0.0977242499939166,0.0977242499939166,2.500438707997091,space,1.879302417000872,0.06296508299419656,,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
0,0,0,up,0.7463816249946831,None,None,,,0,0,0,0,3.0317457920027664,,,,,,,,,2.5053531669982476,3.0317457920027664,0.004889791001915,3.5059452499990584,1,1,0.2,0.7,0.5,3.5064720419904916,3.518317791997106,3.518317791997106,3.518317791997106,3.518317791997106,3.518317791997106,4.275143874998321,up,0.7463816249946831,None,up,0.7463816249946831,0.7,1,4.291621041993494,4.480380916997092,4.480380916997092,4.480380916997092,4.480380916997092,4.480380916997092,5.478176332995645,6.280809499992756,NA,NA,6.280836833000649,6.280868874993757,None,6.280983082993771,6.288799667003332,7.278630000000703,7.273131082998589,,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
1,0,1,left,0.36864120900281705,None,0,1.6985148749954533,None,1,0,1,0,7.278630000000703,,,,,,,,,7.273268082994036,7.278630000000703,0.008541624993085861,8.26360224999371,2,1,0.2,0.7,0.5,8.263823166998918,8.280286916997284,8.280286916997284,8.280286916997284,8.280286916997284,8.280286916997284,8.657115249996423,left,0.36864120900281705,None,left,0.36864120900281705,0.2,0,8.670507082992117,8.683039166993694,8.683039166993694,8.683039166993694,8.683039166993694,8.683039166993694,9.679380667002988,10.663317917002132,10,1.6985148749954533,10.669990166992648,12.381645791989285,0,12.381754332993296,12.39114433299983,13.388449457997922,13.377501832990674,8.273168624989921,10.67934004199924,10.67934004199924,10.67934004199924,10.67934004199924,10.67934004199924,10.67934004199924,1.6985148749954533,None,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
2,0,2,right,0.39625829199212603,None,0,1.6553601670020726,None,2,0,2,0,13.388449457997922,,,,,,,,,13.378193041993654,13.388449457997922,0.006808167003327981,14.372557208000217,3,1,0.2,0.7,0.5,14.372801374993287,14.37955279200105,14.37955279200105,14.37955279200105,14.37955279200105,14.37955279200105,14.780487999989418,right,0.39625829199212603,None,right,0.39625829199212603,0.5,0,14.79722245800076,14.809503208001843,14.809503208001843,14.809503208001843,14.809503208001843,14.809503208001843,15.805091000001994,16.78937358300027,10,1.6553601670020726,16.79572100000223,18.464539624997997,0,18.464669708002475,18.488391374994535,,19.47158133299672,14.37955279200105,16.802951374993427,16.802951374993427,16.802951374993427,16.802951374993427,16.802951374993427,16.802951374993427,1.6553601670020726,None,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
3,0,3,up,1.2302681250002934,None,None,,,3,0,3,0,19.47863933299959,,,,,,,,,19.471724374991027,19.47863933299959,0.007122333001461811,20.47150137499557,4,1,0.2,0.7,0.5,20.471825291999266,20.47748566699738,20.47748566699738,20.47748566699738,20.47748566699738,20.47748566699738,21.714125707992935,up,1.2302681250002934,None,up,1.2302681250002934,0.7,1,21.728542707991437,21.741304832990863,21.741304832990863,21.741304832990863,21.741304832990863,21.741304832990863,22.73902237499715,23.72232995799277,NA,NA,23.722367957991082,23.722406166998553,None,23.722482791999937,23.729599457990844,24.723141832990223,24.713865750003606,,,,,,,,,,21.47238112500054,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
4,0,4,up,0.3474340829998255,None,None,,,4,0,4,0,24.723141832990223,,,,,,,,,24.713981541994144,24.723141832990223,0.0007727079937467352,25.7062695420027,5,1,0.2,0.7,0.5,25.706539042002987,25.74270183299086,25.74270183299086,25.74270183299086,25.74270183299086,25.74270183299086,26.095231125000282,up,0.3474340829998255,None,up,0.3474340829998255,0.7,1,26.107011041996884,26.119283416992403,26.119283416992403,26.119283416992403,26.119283416992403,26.119283416992403,27.110489041995606,28.105354125000304,NA,NA,28.105393167003058,28.10542649999843,None,28.10550454199256,28.110349499998847,29.10592012500274,29.096487292001257,25.74270183299086,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
5,0,5,up,0.3759812500065891,None,None,,,5,0,5,0,29.10592012500274,,,,,,,,,29.096683541996754,29.10592012500274,0.0005233329866314307,30.095491375002894,6,1,0.2,0.7,0.5,30.09574641699146,30.1044697920006,30.1044697920006,30.1044697920006,30.1044697920006,30.1044697920006,30.490806207992136,up,0.3759812500065891,None,up,0.3759812500065891,0.7,1,30.50264191700262,30.512806375001674,30.512806375001674,30.512806375001674,30.512806375001674,30.512806375001674,31.511600541998632,32.49560716700216,NA,NA,32.49564095798996,32.495671582990326,None,32.49572804199124,32.5048437499936,33.49407804200018,33.4882648329949,30.1044697920006,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
6,0,6,up,0.2864303750102408,None,None,,,6,0,6,0,33.49407804200018,,,,,,,,,33.48839541699272,33.49407804200018,0.008788792008999735,34.48108187499747,7,1,0.2,0.7,0.5,34.4813489579974,34.49131749999651,34.49131749999651,34.49131749999651,34.49131749999651,34.49131749999651,34.78127674999996,up,0.2864303750102408,None,up,0.2864303750102408,0.7,1,34.79511041699152,34.804449417002616,34.804449417002616,34.804449417002616,34.804449417002616,34.804449417002616,35.794961042003706,36.7879934579978,NA,NA,36.7880193329911,36.788056082994444,None,36.78811991699331,36.79458025000349,37.789085750002414,37.77925962499285,34.49131749999651,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
7,0,7,up,0.3473255830031121,None,1,1.6220527499972377,None,7,0,7,0,37.789085750002414,,,,,,,,,37.779364000001806,37.789085750002414,0.001062374998582527,38.77237466699444,8,1,0.2,0.7,0.5,38.772615708003286,38.78089212499617,38.78089212499617,38.78089212499617,38.78089212499617,38.78089212499617,39.1295103750017,up,0.3473255830031121,None,up,0.3473255830031121,0.7,0,39.144132582994644,39.152740916993935,39.152740916993935,39.152740916993935,39.152740916993935,39.152740916993935,40.14460804199916,41.138660541997524,1,1.6220527499972377,41.14552387499134,42.779829958002665,1,42.77993570799299,42.888803207999445,,43.78979187499499,38.78089212499617,41.15378958299698,41.15378958299698,41.15378958299698,41.15378958299698,41.15378958299698,41.15378958299698,1.6220527499972377,None,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
8,0,8,right,0.5901556250028079,None,None,,,8,0,8,0,43.79677287499362,,,,,,,,,43.79014374999679,43.79677287499362,0.010273374995449558,44.78855050000129,9,1,0.2,0.7,0.5,44.788969624991296,44.795927207989735,44.795927207989735,44.795927207989735,44.795927207989735,44.795927207989735,45.39385029199184,right,0.5901556250028079,None,right,0.5901556250028079,0.5,1,45.4087329999893,45.41939270799048,45.41939270799048,45.41939270799048,45.41939270799048,45.41939270799048,46.41086829199048,47.39637274999404,NA,NA,47.396405791994766,47.39643220799917,None,47.396518291992834,47.40488762500172,48.395259333003196,48.38792645800277,,,,,,,,,,,,,,,,,,,,020861,001,2025-08-06_15h58.59.155,regret_experiment,2024.2.4,None,1,0.2,0.7,0.5,2025-08-06 15h59.12.369810 -0700,
