thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,pointsText1.stopped,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,fixcross.stopped,blank_screen.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.1245748750079656,0.19395158300176263,0.19395158300176263,3.4371978330018464,space,2.5600668330007466,0.04892683400248643,,,,,,0,0.5,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
0,0,0,up,1.3138052499998594,None,None,0,0,0,0,4.018707124996581,,,,,,,,,3.451548917000764,4.018707124996581,0.014328791992738843,4.444482375009102,1,0,0.5,0.2,0.7,4.444519500000752,4.520550667002681,4.520550667002681,4.520550667002681,4.520550667002681,4.520550667002681,5.516251875000307,5.850733458006289,up,1.3138052499998594,None,up,1.3138052499998594,0.2,0,5.870774625000195,6.27189395800815,6.27189395800815,6.27189395800815,6.27189395800815,6.27189395800815,7.267758000001777,7.860331333009526,NA,NA,7.860713417001534,7.860778582995408,None,7.860968875000253,7.867662917007692,8.861854707996827,,,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
1,0,1,left,0.33354562500608154,None,None,1,0,1,0,8.86878250000882,,,,,,,,,8.862114582996583,8.86878250000882,0.001243082995642908,9.860996375005925,2,0,0.5,0.2,0.7,9.861076957997284,9.870426583001972,9.870426583001972,9.870426583001972,9.870426583001972,9.870426583001972,,10.21635650000826,left,0.33354562500608154,None,left,0.33354562500608154,0.5,1,10.24447095800133,10.289389291996486,10.289389291996486,10.289389291996486,10.289389291996486,10.289389291996486,11.283907582997927,12.218171208005515,NA,NA,12.218276917003095,12.218350333001581,None,12.220598208004958,12.232615000000806,13.219570625005872,,,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
2,0,2,right,0.38041520900151227,None,None,2,0,2,0,13.229067167005269,,,,,,,,,13.220181416996638,13.229067167005269,0.0017374590097460896,14.217368500001612,3,0,0.5,0.2,0.7,14.217413167003542,14.297698249996756,14.297698249996756,14.297698249996756,14.297698249996756,14.297698249996756,,14.718877125007566,right,0.38041520900151227,None,right,0.38041520900151227,0.7,0,14.751477458004956,14.899822624996887,14.899822624996887,14.899822624996887,14.899822624996887,14.899822624996887,15.894068417008384,16.72813987500558,NA,NA,16.728207167005166,16.728268916995148,None,16.729166500008432,16.73409937499673,17.719135624996852,14.297698249996756,17.727628583001206,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
3,0,3,up,0.2659773749910528,None,None,3,0,3,0,17.727628583001206,,,,,,,,,17.719361833005678,17.727628583001206,-0.0006189159903442487,18.711423333006678,4,0,0.5,0.2,0.7,18.71144945800188,18.741288625009474,18.741288625009474,18.741288625009474,18.741288625009474,18.741288625009474,,19.056187207999756,up,0.2659773749910528,None,up,0.2659773749910528,0.2,0,19.10012808299507,19.16506025000126,19.16506025000126,19.16506025000126,19.16506025000126,19.16506025000126,20.160943167007645,21.061328208001214,NA,NA,21.0616549999977,21.06171154200274,None,21.062864332998288,21.06871270800184,22.06216591699922,18.741288625009474,22.069007208003313,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
4,0,4,left,0.36182387500593904,None,None,4,0,4,0,22.069007208003313,,,,,,,,,22.062552375005907,22.069007208003313,0.0005106659955345094,23.061845750009525,5,0,0.5,0.2,0.7,23.061871124999016,23.068325208005263,23.068325208005263,23.068325208005263,23.068325208005263,23.068325208005263,,23.481646708009066,left,0.36182387500593904,None,left,0.36182387500593904,0.5,1,23.523097750003217,23.685620582997217,23.685620582997217,23.685620582997217,23.685620582997217,23.685620582997217,24.68472337500134,25.484287250001216,NA,NA,25.48442266699567,25.484536417003255,None,25.484909749997314,25.493740707999677,26.477846875000978,23.068325208005263,26.48495974999969,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
5,0,5,left,0.309042209002655,None,None,5,0,5,0,26.48495974999969,,,,,,,,,26.478068249998614,26.48495974999969,0.0002401249948889017,27.477477250009542,6,0,0.5,0.2,0.7,27.47751066699857,27.555493624997325,27.555493624997325,27.555493624997325,27.555493624997325,27.555493624997325,,27.90404095800477,left,0.309042209002655,None,left,0.309042209002655,0.5,0,27.937901833007345,28.08952529200178,28.08952529200178,28.08952529200178,28.08952529200178,28.08952529200178,29.08265641699836,29.912290791995474,NA,NA,29.912566708007944,29.912643083007424,None,29.912990875003743,29.92106562500703,30.91201945800276,27.555493624997325,30.919338250008877,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
6,0,6,up,0.2994749579956988,None,None,6,0,6,0,30.919338250008877,,,,,,,,,30.912309749997803,30.919338250008877,-0.0005116250104038045,31.90431100000569,7,0,0.5,0.2,0.7,31.904360750006163,31.913124625003547,31.913124625003547,31.913124625003547,31.913124625003547,31.913124625003547,,32.22721525000816,up,0.2994749579956988,None,up,0.2994749579956988,0.2,0,32.24991774999944,32.26563979200728,32.26563979200728,32.26563979200728,32.26563979200728,32.26563979200728,33.26028933300404,34.22789783299959,NA,NA,34.22804324999743,34.228120125000714,None,34.22835629200563,34.23506662499858,35.22835341699829,31.913124625003547,35.23509470799763,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
7,0,7,left,0.25580291700316593,None,None,7,0,7,0,35.23509470799763,,,,,,,,,35.22875212499639,35.23509470799763,0.0005428750009741634,36.22730450000381,8,0,0.5,0.2,0.7,36.2273595000006,36.23378812499868,36.23378812499868,36.23378812499868,36.23378812499868,36.23378812499868,,36.49572295800317,left,0.25580291700316593,None,left,0.25580291700316593,0.5,0,36.514499666998745,36.527515417008544,36.527515417008544,36.527515417008544,36.527515417008544,36.527515417008544,37.518028207996394,38.502035124998656,NA,NA,38.50244991699583,38.502524541996536,None,38.502819250003085,38.511742750008125,39.495458707999205,36.23378812499868,39.50234179200197,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
8,0,8,right,0.2960377910058014,None,None,8,0,8,0,39.50234179200197,,,,,,,,,39.49575954199827,39.50234179200197,-0.00022774998797103763,40.49441229199874,9,0,0.5,0.2,0.7,40.49445787500008,40.50268608299666,40.50268608299666,40.50268608299666,40.50268608299666,40.50268608299666,,40.80297050000809,right,0.2960377910058014,None,right,0.2960377910058014,0.7,0,40.821022417003405,40.83638995799993,40.83638995799993,40.83638995799993,40.83638995799993,40.83638995799993,41.827744207999785,42.810075125002186,NA,NA,42.810123832998215,42.81015874999866,None,42.810265332998824,42.81549541700224,43.800942041998496,40.50268608299666,43.81001629200182,,,,,,,,,135502,001,2025-08-06_16h03.36.868,regret_experiment,2024.2.4,None,0,0.5,0.2,0.7,2025-08-06 16h03.52.887630 -0700,
