thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,fixcross.stopped,blank_screen.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.006330917123705149,0.012087166775017977,0.012087166775017977,5.307767124846578,space,5.274249375332147,None,,,,,,0,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
0,0,0,right,50.218263833317906,None,None,0,0,0,0,5.826867208816111,,,,,,,,,5.308472458738834,5.826867208816111,0.0007022498175501823,6.312136333901435,1,0,0.5,0.7,0.2,6.312574458774179,6.3282358748838305,6.3282358748838305,6.3282358748838305,6.3282358748838305,56.55340204201639,right,50.218263833317906,None,right,50.218263833317906,0.2,0,56.570859958883375,56.59233312495053,56.59233312495053,56.59233312495053,56.59233312495053,58.55395433399826,NA,NA,58.55438750004396,58.55443625012413,None,58.554507750086486,58.56531370896846,59.55523916706443,,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
1,0,1,right,2.65862233331427,None,None,1,0,1,0,59.566628084052354,,,,,,,,,59.55574370874092,59.566628084052354,0.0012837499380111694,60.5521658747457,2,0,0.5,0.7,0.2,60.55249449983239,60.56784962490201,60.56784962490201,60.56784962490201,60.56784962490201,63.23522762488574,right,2.65862233331427,None,right,2.65862233331427,0.2,0,63.24848866695538,63.25538312504068,63.25538312504068,63.25538312504068,63.25538312504068,65.24800020875409,NA,NA,65.24838462471962,65.24841429200023,None,65.2484827497974,65.26112808380276,66.24846012471244,60.56784962490201,66.25874366704375,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
2,0,2,up,0.7071572919376194,None,None,2,0,2,0,66.25874366704375,,,,,,,,,66.24891775008291,66.25874366704375,0.00048237480223178864,67.24774962477386,3,0,0.5,0.7,0.2,67.24809562508017,67.25986704183742,67.25986704183742,67.25986704183742,67.25986704183742,67.96905562467873,up,0.7071572919376194,None,up,0.7071572919376194,0.7,0,67.98172508412972,67.98500995896757,67.98500995896757,67.98500995896757,67.98500995896757,69.96847891667858,NA,NA,69.96881949994713,69.96884679188952,None,69.96891466667876,69.97838116670027,70.9687357917428,67.25986704183742,70.97919762507081,69.97838116670027,69.97838116670027,69.97838116670027,69.97838116670027,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
3,0,3,right,1.238475542049855,None,None,3,0,3,0,70.97919762507081,,,,,,,,,70.9691828340292,70.97919762507081,0.00031575001776218414,71.96602391684428,4,0,0.5,0.7,0.2,71.96636466681957,71.98170066671446,71.98170066671446,71.98170066671446,71.98170066671446,73.22215383406729,right,1.238475542049855,None,right,1.238475542049855,0.2,0,73.23443683376536,73.23726149974391,73.23726149974391,73.23726149974391,73.23726149974391,75.22048704186454,NA,NA,75.22086045891047,75.22088808380067,None,75.22095520887524,75.23283729190007,76.2187572917901,71.98170066671446,76.23402745882049,75.23283729190007,75.23283729190007,75.23283729190007,75.23283729190007,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
4,0,4,left,0.5886172093451023,None,None,4,0,4,0,76.23402745882049,,,,,,,,,76.21918995911255,76.23402745882049,0.013158999849110842,77.22099549975246,5,0,0.5,0.7,0.2,77.22132562473416,77.23249020893127,77.23249020893127,77.23249020893127,77.23249020893127,77.82321008387953,left,0.5886172093451023,None,left,0.5886172093451023,0.5,0,77.83579516690224,77.83865716680884,77.83865716680884,77.83865716680884,77.83865716680884,79.83213037485257,NA,NA,79.83259433368221,79.83262425009161,None,79.83269458403811,79.84796408377588,80.83246316667646,77.23249020893127,80.84664866700768,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
5,0,5,left,1.6052963747642934,None,None,5,0,5,0,80.84664866700768,,,,,,,,,80.83290824992582,80.84664866700768,0.00026079174131155014,81.83502979204059,6,0,0.5,0.7,0.2,81.83560850005597,81.84587904205546,81.84587904205546,81.84587904205546,81.84587904205546,83.4603814589791,left,1.6052963747642934,None,left,1.6052963747642934,0.5,0,83.47311354195699,83.47608420904726,83.47608420904726,83.47608420904726,83.47608420904726,85.45909287501127,NA,NA,85.45940358377993,85.45943012507632,None,85.45949779171497,85.47495737485588,86.46097675012425,,,85.47495737485588,85.47495737485588,85.47495737485588,85.47495737485588,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
6,0,6,up,1.4165312498807907,None,None,6,0,6,0,86.47379462514073,,,,,,,,,86.4614257500507,86.47379462514073,0.0019746250472962856,87.45941583393142,7,0,0.5,0.7,0.2,87.45973666710779,87.47309112502262,87.47309112502262,87.47309112502262,87.47309112502262,88.9001833749935,up,1.4165312498807907,None,up,1.4165312498807907,0.7,1,88.91157158371061,88.91468691686168,88.91468691686168,88.91468691686168,88.91468691686168,90.89960375009105,NA,NA,90.90005429182202,90.9000830417499,None,90.9001505416818,90.9150527920574,91.89962637471035,87.47309112502262,91.91417141677812,90.9150527920574,90.9150527920574,90.9150527920574,90.9150527920574,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
7,0,7,left,1.7098402921110392,None,None,7,0,7,0,91.91417141677812,,,,,,,,,91.9000847088173,91.91417141677812,-1.912470906972885e-05,92.89894049987197,8,0,0.5,0.7,0.2,92.89911791682243,92.91206225007772,92.91206225007772,92.91206225007772,92.91206225007772,94.6239511249587,left,1.7098402921110392,None,left,1.7098402921110392,0.5,1,94.63554229168221,94.63841649983078,94.63841649983078,94.63841649983078,94.63841649983078,96.63397737499326,NA,NA,96.63440370885655,96.6344491248019,None,96.63451999984682,96.64546279190108,97.6345685836859,92.91206225007772,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
8,0,8,up,0.9318849579431117,None,None,8,0,8,0,97.64537166710943,,,,,,,,,97.63509025005624,97.64537166710943,0.0006171660497784615,98.63415700010955,9,0,0.5,0.7,0.2,98.63449608394876,98.64776808395982,98.64776808395982,98.64776808395982,98.64776808395982,99.5817331247963,up,0.9318849579431117,None,up,0.9318849579431117,0.7,1,99.59454841678962,99.59924554172903,99.59924554172903,99.59924554172903,99.59924554172903,101.59385658381507,NA,NA,101.59432537481189,101.59435662487522,None,101.5944273751229,101.60544783389196,102.59462387487292,98.64776808395982,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
