thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.07554024999262765,0.14924345799954608,0.14924345799954608,23.1534722080105,space,22.968727833009325,None,,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
0,0,0,up,1.3874832919682376,None,1,3.838974291982595,None,0,0,0,0,23.710602500010282,,,,,,,,,23.166466999973636,23.710602500010282,0.012947874958626926,24.157457916007843,1,1,0.5,0.7,0.2,24.158161374973133,24.189293708011974,24.189293708011974,24.189293708011974,24.189293708011974,25.58190204098355,up,1.3874832919682376,None,up,1.3874832919682376,0.7,0,25.62294487498002,25.642092416004743,25.642092416004743,25.642092416004743,25.642092416004743,27.59059758298099,27.597486625018064,27.605439666018356,27.605439666018356,27.605439666018356,27.605439666018356,27.605439666018356,31.447955165989697,1,3.838974291982595,None,1,3.838974291982595,31.44810416601831,31.463237291027326,32.45639054098865,,,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
1,0,1,right,1.0465556670096703,None,1,1.9774963749805465,None,1,0,1,0,32.462813166028354,,,,,,,,,32.457320916000754,32.462813166028354,0.009300917037762702,33.45720337500097,2,1,0.5,0.7,0.2,33.45785291597713,33.46260066598188,33.46260066598188,33.46260066598188,33.46260066598188,34.51341025001602,right,1.0465556670096703,None,right,1.0465556670096703,0.2,0,34.52589391602669,34.53347916598432,34.53347916598432,34.53347916598432,34.53347916598432,36.5237729580258,36.53212520800298,36.5404988329974,36.5404988329974,36.5404988329974,36.5404988329974,36.5404988329974,38.530266290996224,1,1.9774963749805465,None,1,1.9774963749805465,38.53035037498921,38.53906366601586,39.524709665973205,39.53013770800317,,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
2,0,2,left,0.602830666990485,None,1,1.988209041999653,None,2,0,2,0,39.53013770800317,,,,,,,,,39.52528516598977,39.53013770800317,-0.00013195897918194532,40.524498041020706,3,1,0.5,0.7,0.2,40.52505875000497,40.5303769580205,40.5303769580205,40.5303769580205,40.5303769580205,41.14165241603041,left,0.602830666990485,None,left,0.602830666990485,0.5,0,41.15610424999613,41.16496037499746,41.16496037499746,41.16496037499746,41.16496037499746,43.14599620801164,43.15286295802798,43.16048541601049,43.16048541601049,43.16048541601049,43.16048541601049,43.16048541601049,45.15793174999999,1,1.988209041999653,None,1,1.988209041999653,45.15801354101859,45.166000749974046,46.157336250005756,46.1623524579918,40.5303769580205,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
3,0,3,up,0.6810045830206946,None,1,2.7175295000197366,None,3,0,3,0,46.1623524579918,,,,,,,,,46.15768120798748,46.1623524579918,-0.00028141698567196727,47.15715458302293,4,1,0.5,0.7,0.2,47.15754320798442,47.1626953749801,47.1626953749801,47.1626953749801,47.1626953749801,47.84732191602234,up,0.6810045830206946,None,up,0.6810045830206946,0.7,0,47.862224791024346,47.86908037500689,47.86908037500689,47.86908037500689,47.86908037500689,49.85649170802208,49.864861665992066,49.870871208026074,49.870871208026074,49.870871208026074,49.870871208026074,49.870871208026074,52.591574124991894,1,2.7175295000197366,None,1,2.7175295000197366,52.59164875000715,52.59613137500128,53.59052874997724,53.595655583019834,47.1626953749801,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
4,0,4,left,1.0081274170079269,None,None,,,4,0,4,0,53.595655583019834,,,,,,,,,53.59090912499232,53.595655583019834,-0.000692416972015053,54.58999424998183,5,1,0.5,0.7,0.2,54.59056020801654,54.59557725000195,54.59557725000195,54.59557725000195,54.59557725000195,55.60838012502063,left,1.0081274170079269,None,left,1.0081274170079269,0.5,1,55.62236199999461,55.62927416601451,55.62927416601451,55.62927416601451,55.62927416601451,57.61700516601559,57.631127708009444,,,,,,57.63122766598826,None,,,NA,NA,57.631358041020576,57.63954854098847,58.62383745802799,58.62908895802684,54.59557725000195,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
5,0,5,left,1.0221946249948815,None,None,,,5,0,5,0,58.62908895802684,,,,,,,,,58.62439291598275,58.62908895802684,0.008145542000420392,59.62354591599433,6,1,0.5,0.7,0.2,59.624076874984894,59.62970595801016,59.62970595801016,59.62970595801016,59.62970595801016,60.65817887498997,left,1.0221946249948815,None,left,1.0221946249948815,0.5,1,60.67274275003001,60.68830133299343,60.68830133299343,60.68830133299343,60.68830133299343,62.66159658302786,62.66220995801268,,,,,,62.662257291027345,None,,,NA,NA,62.66234954097308,62.67271116602933,63.65719804097898,63.661921666003764,59.62970595801016,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
6,0,6,left,0.5442497910116799,None,None,,,6,0,6,0,63.661921666003764,,,,,,,,,63.65753283299273,63.661921666003764,-0.00033362500835210085,64.65655137499562,7,1,0.5,0.7,0.2,64.65678179101087,64.66749408299802,64.66749408299802,64.66749408299802,64.66749408299802,65.21366570802638,left,0.5442497910116799,None,left,0.5442497910116799,0.5,1,65.23209458298516,65.23937837500125,65.23937837500125,65.23937837500125,65.23937837500125,67.22257320798235,67.2241794160218,,,,,,67.22421333298553,None,,,NA,NA,67.22425904101692,67.22816866601352,68.2297669579857,68.23519470798783,64.66749408299802,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
7,0,7,left,1.0091162090539,None,1,2.630407665972598,None,7,0,7,0,68.23519470798783,,,,,,,,,68.23027812497457,68.23519470798783,0.0060530410264618695,69.22294041601708,8,1,0.5,0.7,0.2,69.22319304099074,69.23410200001672,69.23410200001672,69.23410200001672,69.23410200001672,70.2464419999742,left,1.0091162090539,None,left,1.0091162090539,0.5,0,70.26001854101196,70.26651770801982,70.26651770801982,70.26651770801982,70.26651770801982,72.26143829099601,72.28175999998348,72.29456479102373,72.29456479102373,72.29456479102373,72.29456479102373,72.29456479102373,74.9366010830272,1,2.630407665972598,None,1,2.630407665972598,74.9369704159908,74.94209262501681,75.92729187500663,75.93876845802879,69.23410200001672,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
8,0,8,right,0.8580950000323355,None,None,,,8,0,8,0,75.93876845802879,,,,,,,,,75.92794591601705,75.93876845802879,0.001996333012357354,76.92259662499418,9,1,0.5,0.7,0.2,76.92307258298388,76.92801049997797,76.92801049997797,76.92801049997797,76.92801049997797,77.79044133302523,right,0.8580950000323355,None,right,0.8580950000323355,0.2,1,77.80874341598246,77.81838412501384,77.81838412501384,77.81838412501384,77.81838412501384,79.79336766601773,79.79371150000952,,,,,,79.79375225002877,None,,,NA,NA,79.79381837497931,79.80533649999416,80.78911079099635,80.79415091598639,76.92801049997797,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
