thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.008212500251829624,0.012717333156615496,0.012717333156615496,2.0383884999901056,space,1.9980877498164773,None,,,,,,2,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
0,0,0,up,7.787980375345796,None,None,,,0,0,0,0,2.5599683332256973,,,,,,,,,2.0393977500498295,2.5599683332256973,0.0010056248866021633,3.0500819999724627,1,2,0.5,0.7,0.2,3.0505470000207424,3.063719416037202,3.063719416037202,3.063719416037202,3.063719416037202,10.854095832910389,up,7.787980375345796,None,up,7.787980375345796,0.7,1,10.869643290992826,10.886800250038505,10.886800250038505,10.886800250038505,10.886800250038505,12.863340999931097,NA,NA,12.863838833291084,12.863873416092247,None,12.863940583076328,12.876874708104879,13.86525704106316,,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
1,0,1,right,1.333544041030109,None,None,,,1,0,1,0,13.877949499990791,,,,,,,,,13.865762416273355,13.877949499990791,0.0018659168854355812,14.864257041364908,2,2,0.5,0.7,0.2,14.864666291046888,14.878020958043635,14.878020958043635,14.878020958043635,14.878020958043635,16.213613166008145,right,1.333544041030109,None,right,1.333544041030109,0.2,0,16.22846654104069,16.23130758292973,16.23130758292973,16.23130758292973,16.23130758292973,18.22478679101914,NA,NA,18.22517470829189,18.225205125287175,None,18.225275000091642,18.238410333171487,19.224920166190714,19.237152040936053,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
2,0,2,up,1.2013884158805013,None,None,,,2,0,2,0,19.237152040936053,,,,,,,,,19.225375708192587,19.237152040936053,0.0001477920450270176,20.22240858292207,3,2,0.5,0.7,0.2,20.2225873330608,20.23577804118395,20.23577804118395,20.23577804118395,20.23577804118395,21.439333875197917,up,1.2013884158805013,None,up,1.2013884158805013,0.7,1,21.45420404104516,21.45714566623792,21.45714566623792,21.45714566623792,21.45714566623792,23.449139666277915,NA,NA,23.449608250055462,23.449644666165113,None,23.44971541594714,23.46573191601783,24.449607625138015,24.464269833173603,20.23577804118395,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
3,0,3,left,0.74185875011608,None,None,,,3,0,3,0,24.464269833173603,,,,,,,,,24.4500819160603,24.464269833173603,0.0004138750955462456,25.45187791623175,4,2,0.5,0.7,0.2,25.452275208197534,25.462563750334084,25.462563750334084,25.462563750334084,25.462563750334084,26.21247937530279,left,0.74185875011608,None,left,0.74185875011608,0.5,1,26.224507207982242,26.22754037519917,26.22754037519917,26.22754037519917,26.22754037519917,28.22513295803219,NA,NA,28.225687625352293,28.225719708018005,None,28.225791708100587,28.238361415918916,29.223181250039488,29.23806041618809,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
4,0,4,right,1.0480164168402553,None,None,,,4,0,4,0,29.23806041618809,,,,,,,,,29.22363912500441,29.23806041618809,0.012343915645033121,30.223928540945053,5,2,0.5,0.7,0.2,30.2242719582282,30.23584441607818,30.23584441607818,30.23584441607818,30.23584441607818,31.2929554162547,right,1.0480164168402553,None,right,1.0480164168402553,0.2,0,31.305821707937866,31.30857391608879,31.30857391608879,31.30857391608879,31.30857391608879,33.291924457997084,NA,NA,33.292301333043724,33.29233054118231,None,33.29240025021136,33.302377166226506,34.29120183316991,34.30281887529418,30.23584441607818,33.302377166226506,33.302377166226506,33.302377166226506,33.302377166226506,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
5,0,5,up,0.6803672076202929,None,None,,,5,0,5,0,34.30281887529418,,,,,,,,,34.29166808305308,34.30281887529418,-0.0006822501309216022,35.29224641621113,6,2,0.5,0.7,0.2,35.2925975411199,35.30498770810664,35.30498770810664,35.30498770810664,35.30498770810664,35.987681958358735,up,0.6803672076202929,None,up,0.6803672076202929,0.7,0,36.00124800018966,36.00511333299801,36.00511333299801,36.00511333299801,36.00511333299801,37.99571270821616,NA,NA,37.99611816601828,37.99614787520841,None,37.99621850019321,38.011537374928594,38.997857083100826,,35.30498770810664,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
6,0,6,up,0.5766976247541606,None,None,,,6,0,6,0,39.009690875187516,,,,,,,,,38.99836866604164,39.009690875187516,0.0021967082284390926,39.99629616597667,7,2,0.5,0.7,0.2,39.99667795794085,40.01116741634905,40.01116741634905,40.01116741634905,40.01116741634905,40.59820320829749,up,0.5766976247541606,None,up,0.5766976247541606,0.7,1,40.60987979127094,40.61326549993828,40.61326549993828,40.61326549993828,40.61326549993828,42.598074791021645,NA,NA,42.598403125070035,42.59843462519348,None,42.598506208043545,42.61104491632432,43.598673708271235,,40.01116741634905,42.61104491632432,42.61104491632432,42.61104491632432,42.61104491632432,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
7,0,7,left,0.03349762503057718,None,None,,,7,0,7,0,43.60970858298242,,,,,,,,,43.59926625015214,43.60970858298242,0.0008087083697319031,44.597438250202686,8,2,0.5,0.7,0.2,44.597703291103244,44.610251791309565,44.610251791309565,44.610251791309565,44.610251791309565,44.651450749952346,left,0.03349762503057718,None,left,0.03349762503057718,0.5,0,44.66562158335,44.66846249997616,44.66846249997616,44.66846249997616,44.66846249997616,46.66420454112813,NA,NA,46.66462199995294,46.66465154103935,None,46.66472216602415,46.67781229130924,47.663849000353366,47.67667887499556,44.610251791309565,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
8,0,8,right,0.7349474169313908,None,None,,,8,0,8,0,47.67667887499556,,,,,,,,,47.664228291250765,47.67667887499556,-0.00044737523421645164,48.6644327910617,9,2,0.5,0.7,0.2,48.66477375011891,48.67627337528393,48.67627337528393,48.67627337528393,48.67627337528393,49.41328066634014,right,0.7349474169313908,None,right,0.7349474169313908,0.2,0,49.42628579121083,49.429136916063726,49.429136916063726,49.429136916063726,49.429136916063726,51.42368816630915,NA,NA,51.424198375083506,51.42423379095271,None,51.42430837498978,51.43719616625458,52.42437570821494,52.43676104117185,48.67627337528393,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
