thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.006221374962478876,0.012858666945248842,0.012858666945248842,2.4276044173166156,space,2.383225250057876,None,,,,,,1,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
0,0,0,right,3.534233750309795,None,1,2.0608879579231143,None,0,0,0,0,2.949056874960661,,,,,,,,,2.428600042127073,2.949056874960661,0.0009855418466031551,3.4348311671055853,1,1,0.2,0.5,0.7,3.435258542187512,3.447459583170712,3.447459583170712,3.447459583170712,3.447459583170712,6.9839539169333875,right,3.534233750309795,None,right,3.534233750309795,0.7,0,7.001504207961261,7.019351083319634,7.019351083319634,7.019351083319634,7.019351083319634,8.994373166933656,9.004083125386387,9.006846250034869,9.006846250034869,9.006846250034869,9.006846250034869,9.006846250034869,11.075452417135239,1,2.0608879579231143,None,1,2.0608879579231143,11.075557332951576,11.086514375172555,12.086720833089203,12.074467041995376,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
1,0,1,up,0.8775639999657869,None,None,,,1,0,1,0,12.086720833089203,,,,,,,,,12.074966333340853,12.086720833089203,-0.0005378331989049911,13.074504167307168,2,1,0.2,0.5,0.7,13.074870666954666,13.087322667241096,13.087322667241096,13.087322667241096,13.087322667241096,13.966524708084762,up,0.8775639999657869,None,up,0.8775639999657869,0.5,1,13.979261999949813,13.982660917099565,13.982660917099565,13.982660917099565,13.982660917099565,15.966389750130475,15.966762875206769,,,,,,15.96680691698566,None,,,NA,NA,15.966893000062555,15.98145708302036,16.981664167251438,16.966935582924634,13.087322667241096,15.98145708302036,15.98145708302036,15.98145708302036,15.98145708302036,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
2,0,2,right,0.6153178331442177,None,1,1.0949086253531277,None,2,0,2,0,16.981664167251438,,,,,,,,,16.96740545798093,16.981664167251438,0.0005614170804619789,17.968770417384803,3,1,0.2,0.5,0.7,17.969186167232692,17.98017375031486,17.98017375031486,17.98017375031486,17.98017375031486,18.60838329233229,right,0.6153178331442177,None,right,0.6153178331442177,0.7,0,18.62183679221198,18.626451833173633,18.626451833173633,18.626451833173633,18.626451833173633,20.609232292044908,20.618134542368352,20.620070999953896,20.620070999953896,20.620070999953896,20.620070999953896,20.620070999953896,21.727334917057306,1,1.0949086253531277,None,1,1.0949086253531277,21.727416875306517,21.740178583189845,22.739085833076388,22.726584250107408,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
3,0,3,left,0.37678012484684587,None,1,0.7455407921224833,None,3,0,3,0,22.739085833076388,,,,,,,,,22.727080167271197,22.739085833076388,-0.00029175030067563057,23.72730337502435,4,1,0.2,0.5,0.7,23.72768258303404,23.739511042367667,23.739511042367667,23.739511042367667,23.739511042367667,24.127867333125323,left,0.37678012484684587,None,left,0.37678012484684587,0.2,0,24.140474792104214,24.14333779225126,24.14333779225126,24.14333779225126,24.14333779225126,26.129136042203754,26.13667625002563,26.13928550016135,26.13928550016135,26.13928550016135,26.13928550016135,26.13928550016135,26.886346417013556,1,0.7455407921224833,None,1,0.7455407921224833,26.886410625185817,26.900085875298828,27.901060208212584,27.88642262527719,23.739511042367667,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
4,0,4,up,0.5440739584155381,None,None,,,4,0,4,0,27.901060208212584,,,,,,,,,27.886901500169188,27.901060208212584,0.0005274577997624874,28.88645958295092,5,1,0.2,0.5,0.7,28.886815042234957,28.90242616692558,28.90242616692558,28.90242616692558,28.90242616692558,29.44862208329141,up,0.5440739584155381,None,up,0.5440739584155381,0.5,1,29.46092841727659,29.46385429194197,29.46385429194197,29.46385429194197,29.46385429194197,31.460725042037666,31.461162833031267,,,,,,31.461207957938313,None,,,NA,NA,31.46127666719258,31.47374620800838,32.47410237509757,32.461556625086814,28.90242616692558,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
5,0,5,up,0.3894707500003278,None,1,1.1184010826982558,None,5,0,5,0,32.47410237509757,,,,,,,,,32.46205091709271,32.47410237509757,0.0008219997398555279,33.46244095824659,6,1,0.2,0.5,0.7,33.4629598329775,33.47339475015178,33.47339475015178,33.47339475015178,33.47339475015178,33.864959792234,up,0.3894707500003278,None,up,0.3894707500003278,0.5,0,33.87909608334303,33.884426667355,33.884426667355,33.884426667355,33.884426667355,35.8757111672312,35.88339683320373,35.887822167016566,35.887822167016566,35.887822167016566,35.887822167016566,35.887822167016566,37.00842100009322,1,1.1184010826982558,None,1,1.1184010826982558,37.00852004205808,37.02219791710377,,38.00949658313766,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
6,0,6,left,0.7280578329227865,None,2,1.231229166034609,None,6,0,6,0,38.02175720827654,,,,,,,,,38.010001708287746,38.02175720827654,0.001531417015939951,39.0066995001398,7,1,0.2,0.5,0.7,39.007042250130326,39.02040737494826,39.02040737494826,39.02040737494826,39.02040737494826,39.75660875020549,left,0.7280578329227865,None,left,0.7280578329227865,0.2,0,39.7712937919423,39.77780458331108,39.77780458331108,39.77780458331108,39.77780458331108,41.768364917021245,41.77611020812765,41.77996120834723,41.77996120834723,41.77996120834723,41.77996120834723,41.77996120834723,43.02121612522751,2,1.231229166034609,None,2,1.231229166034609,43.021309417206794,43.03559037530795,,44.02171608293429,39.02040737494826,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
7,0,7,right,0.5093570412136614,None,None,,,7,0,7,0,44.03357720794156,,,,,,,,,44.02232795814052,44.03357720794156,0.001069874968379736,45.02292829193175,8,1,0.2,0.5,0.7,45.02334195794538,45.03325154213235,45.03325154213235,45.03325154213235,45.03325154213235,45.54463383322582,right,0.5093570412136614,None,right,0.5093570412136614,0.7,1,45.55637791706249,45.55930062523112,45.55930062523112,45.55930062523112,45.55930062523112,47.55553391715512,47.55595420813188,,,,,,47.555997708346695,None,,,NA,NA,47.55606729211286,47.56637562531978,48.566843583248556,48.55637887492776,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
8,0,8,left,0.6608309997245669,None,1,0.6694355830550194,None,8,0,8,0,48.566843583248556,,,,,,,,,48.556882333010435,48.566843583248556,0.0008604591712355614,49.55598050029948,9,1,0.2,0.5,0.7,49.55633404199034,49.56681133294478,49.56681133294478,49.56681133294478,49.56681133294478,50.23499175021425,left,0.6608309997245669,None,left,0.6608309997245669,0.2,0,50.24862133292481,50.253322625067085,50.253322625067085,50.253322625067085,50.253322625067085,52.235519791953266,52.24149683304131,52.24592312518507,52.24592312518507,52.24592312518507,52.24592312518507,52.24592312518507,52.92971466714516,1,0.6694355830550194,None,1,0.6694355830550194,52.92981212493032,52.940534125082195,53.94041637517512,53.92712729237974,49.56681133294478,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
