thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.06147137499647215,0.0777046250004787,0.0777046250004787,5.532252457996947,space,5.3820647910033586,None,,,,,,0,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
0,0,0,up,1.4257336250011576,None,None,0,0,0,0,6.171232458000304,,,,,,,,,5.534235707993503,6.171232458000304,0.0019757080008275807,6.535467082998366,1,0,0.5,0.7,0.2,6.535913874999096,6.547879166995699,6.547879166995699,6.547879166995699,6.547879166995699,7.977697582995461,up,1.4257336250011576,None,up,1.4257336250011576,0.7,0,8.011052999994718,8.025214582994522,8.025214582994522,8.025214582994522,8.025214582994522,9.98589537499356,NA,NA,9.986613207998744,9.986758332997852,None,9.98690195800009,9.993097957994905,10.994105541998579,10.98652958299499,,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
1,0,1,right,1.11819458300306,None,None,1,0,1,0,10.994105541998579,,,,,,,,,10.987428541993722,10.994105541998579,0.000644500003545545,11.985821999995096,2,0,0.5,0.7,0.2,11.98636925000028,11.992415875000006,11.992415875000006,11.992415875000006,11.992415875000006,13.121488749995478,right,1.11819458300306,None,right,1.11819458300306,0.2,0,13.149778832994343,13.159290083000087,13.159290083000087,13.159290083000087,13.159290083000087,15.124832166999113,NA,NA,15.1255354169989,15.125646332999167,None,15.125781374998041,15.135829249993549,16.12518395799998,16.11987466699793,11.992415875000006,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
2,0,2,right,1.1388947919986094,None,None,2,0,2,0,16.12518395799998,,,,,,,,,16.120180416997755,16.12518395799998,-0.00043441700108814985,17.108545582996157,3,0,0.5,0.7,0.2,17.109047999998438,17.125111124994874,17.125111124994874,17.125111124994874,17.125111124994874,18.27124854199792,right,1.1388947919986094,None,right,1.1388947919986094,0.2,0,18.299284374996205,18.322167082995293,18.322167082995293,18.322167082995293,18.322167082995293,20.275838541994744,NA,NA,20.276519082995947,20.276608624997607,None,20.276728249998996,20.28533741699357,21.276689667000028,21.270190707997244,17.11933104199852,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
3,0,3,left,0.4264783329999773,None,None,3,0,3,0,21.276689667000028,,,,,,,,,21.271025374997407,21.276689667000028,9.283299732487649e-05,22.270140041997365,4,0,0.5,0.7,0.2,22.27071108299424,22.277049291995354,22.277049291995354,22.277049291995354,22.277049291995354,22.71076945799723,left,0.4264783329999773,None,left,0.4264783329999773,0.5,0,22.737351916999614,22.746329874993535,22.746329874993535,22.746329874993535,22.746329874993535,24.719196916994406,NA,NA,24.71978354199382,24.719871875000536,None,24.719988957993337,24.725315957999555,25.718818374996772,25.709947832998296,22.277049291995354,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
4,0,4,left,1.2464157499998691,None,None,4,0,4,0,25.718818374996772,,,,,,,,,25.710586416993465,25.718818374996772,0.0044216250025783665,26.703294041995832,5,0,0.5,0.7,0.2,26.70394249999663,26.709718999998586,26.709718999998586,26.709718999998586,26.709718999998586,27.962816791994555,left,1.2464157499998691,None,left,1.2464157499998691,0.5,1,27.97812137499568,27.98705145799613,27.98705145799613,27.98705145799613,27.98705145799613,29.969025250000414,NA,NA,29.969814166994183,29.96989224999561,None,29.97004116699827,29.975232374999905,30.96908687499672,30.958575707998534,26.709718999998586,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
5,0,5,up,0.4463584999975865,None,None,5,0,5,0,30.96908687499672,,,,,,,,,30.959454207993986,30.96908687499672,-0.0008062089982558973,31.953517416994146,6,0,0.5,0.7,0.2,31.954095791996224,31.96066074999544,31.96066074999544,31.96066074999544,31.96066074999544,32.41096224999637,up,0.4463584999975865,None,up,0.4463584999975865,0.7,1,32.43567975000042,32.44461466699431,32.44461466699431,32.44461466699431,32.44461466699431,34.419070249998185,NA,NA,34.419746082996426,34.41984416699415,None,34.41998879199673,34.425154166994616,35.41847345799761,35.409105874998204,31.96066074999544,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
6,0,6,left,0.4130146669995156,None,None,6,0,6,0,35.41847345799761,,,,,,,,,35.41004766699916,35.41847345799761,0.003678458000649698,36.403348499996355,7,0,0.5,0.7,0.2,36.403883457998745,36.40987166699779,36.40987166699779,36.40987166699779,36.40987166699779,36.827263916995435,left,0.4130146669995156,None,left,0.4130146669995156,0.5,1,36.85405316700053,36.86304662499606,36.86304662499606,36.86304662499606,36.86304662499606,38.83628837499418,NA,NA,38.836975082995195,38.83708887499961,None,38.837249041993346,38.84259558299527,39.8444157079939,39.83666870799789,36.40987166699779,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
7,0,7,left,0.5642809170021792,None,None,7,0,7,0,39.8444157079939,,,,,,,,,39.837576749996515,39.8444157079939,0.00045608299842569977,40.83675841699733,8,0,0.5,0.7,0.2,40.83737674999429,40.84315062499809,40.84315062499809,40.84315062499809,40.84315062499809,41.41036037499725,left,0.5642809170021792,None,left,0.5642809170021792,0.5,0,41.438146000000415,41.446171791998495,41.446171791998495,41.446171791998495,41.446171791998495,43.41946933299914,NA,NA,43.42012574999535,43.4202148330005,None,43.42031524999766,43.425455291995604,44.4191792079946,44.40878245799831,40.84315062499809,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
8,0,8,right,0.48481270800402854,None,None,8,0,8,0,44.4191792079946,,,,,,,,,44.40941762500006,44.4191792079946,0.004109666995645966,45.403498916995886,9,0,0.5,0.7,0.2,45.40424041699589,45.41031037499488,45.41031037499488,45.41031037499488,45.41031037499488,45.90420020799502,right,0.48481270800402854,None,right,0.48481270800402854,0.2,0,45.92833170799713,45.936176416995295,45.936176416995295,45.936176416995295,45.936176416995295,47.908977957995376,NA,NA,47.90958070799388,47.90966779199516,None,47.90979999999399,47.91909899999882,48.91017499999725,48.90369608299807,45.41031037499488,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
9,0,9,left,0.36062091599887935,None,None,9,0,9,0,48.91017499999725,,,,,,,,,48.90468433299975,48.91017499999725,0.0005239999954937957,49.90340204200038,10,0,0.5,0.7,0.2,49.90397949999897,49.91021387499495,49.91021387499495,49.91021387499495,49.91021387499495,50.277045749993704,left,0.36062091599887935,None,left,0.36062091599887935,0.5,1,50.30310612500034,50.31169924999995,50.31169924999995,50.31169924999995,50.31169924999995,52.28618299999653,NA,NA,52.28682358299557,52.28693304199987,None,52.287058166999486,52.29218545799813,53.29410208299669,53.28670104199409,49.91021387499495,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
10,0,10,up,0.4838789999994333,None,None,10,0,10,0,53.29410208299669,,,,,,,,,53.28774262499792,53.29410208299669,0.0007734169994364493,54.286010791998706,11,0,0.5,0.7,0.2,54.286380499994266,54.29117558299913,54.29117558299913,54.29117558299913,54.29117558299913,54.77758329199423,up,0.4838789999994333,None,up,0.4838789999994333,0.7,1,54.790878291998524,54.79811516699556,54.79811516699556,54.79811516699556,54.79811516699556,56.78610637499514,NA,NA,56.78646424999897,56.78649937499722,None,56.78654408299917,56.791236999997636,57.790992374997586,57.78577116700035,54.29117558299913,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
11,0,11,left,0.23037374999694293,None,None,11,0,11,0,57.790992374997586,,,,,,,,,57.78622333299427,57.790992374997586,-0.0002904170032707043,58.774593707996246,12,0,0.5,0.7,0.2,58.77489516700007,58.78531324999494,58.78531324999494,58.78531324999494,58.78531324999494,59.020711957993626,left,0.23037374999694293,None,left,0.23037374999694293,0.5,0,59.03368374999991,59.04024554199714,59.04024554199714,59.04024554199714,59.04024554199714,61.02455462499347,NA,NA,61.024970499995106,61.02501070799917,None,61.02506462499878,61.03575995799474,62.026091332998476,62.01991395799996,58.78531324999494,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
12,0,12,left,0.1900209579980583,None,None,12,0,12,0,62.026091332998476,,,,,,,,,62.02055112499511,62.026091332998476,0.0011451660029706545,63.0202302079997,13,0,0.5,0.7,0.2,63.020776666999154,63.02650116699806,63.02650116699806,63.02650116699806,63.02650116699806,63.2204658749979,left,0.1900209579980583,None,left,0.1900209579980583,0.5,1,63.245676874998026,63.254144916994846,63.254144916994846,63.254144916994846,63.254144916994846,65.2248392919937,NA,NA,65.2255528329988,65.22564020799473,None,65.22575037499337,65.23586299999442,66.22553495799366,66.22026833299606,63.02650116699806,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
13,0,13,up,0.23606724999990547,None,None,13,0,13,0,66.22553495799366,,,,,,,,,66.22060766699724,66.22553495799366,-5.837500066263601e-05,67.20927095799561,14,0,0.5,0.7,0.2,67.20987987499393,67.21930166699894,67.21930166699894,67.21930166699894,67.21930166699894,67.46248991699395,up,0.23606724999990547,None,up,0.23606724999990547,0.7,0,67.47682024999813,67.4858538749977,67.4858538749977,67.4858538749977,67.4858538749977,69.46995412499382,NA,NA,69.47065812499932,69.470725166997,None,69.47080737499346,69.47688879199995,70.47646199999872,70.47015279199695,67.21930166699894,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
14,0,14,up,0.5379347919952124,None,None,14,0,14,0,70.47646199999872,,,,,,,,,70.47060187500028,70.47646199999872,-0.00013908400433138013,71.47014091699384,15,0,0.5,0.7,0.2,71.47060820799379,71.47659991699766,71.47659991699766,71.47659991699766,71.47659991699766,72.02237787500053,up,0.5379347919952124,None,up,0.5379347919952124,0.7,1,72.03645999999571,72.04358524999407,72.04358524999407,72.04358524999407,72.04358524999407,74.02400458299962,NA,NA,74.02473704199656,74.02483808299439,None,74.02498558299703,74.0360010000004,75.02602900000056,75.01999437499762,71.47659991699766,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
15,0,15,up,0.24591770800179802,None,None,15,0,15,0,75.02602900000056,,,,,,,,,75.02075462499488,75.02602900000056,0.001201166000100784,76.01985766699363,16,0,0.5,0.7,0.2,76.02012904199364,76.02519145800034,76.02519145800034,76.02519145800034,76.02519145800034,76.27342529199814,up,0.24591770800179802,None,up,0.24591770800179802,0.7,1,76.28515524999966,76.29190212499816,76.29190212499816,76.29190212499816,76.29190212499816,78.27463524999621,NA,NA,78.2755702919967,78.27567545799684,None,78.27579891699861,78.28552520799713,79.27538345799985,79.26992474999861,76.02519145800034,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
16,0,16,left,0.23550404099660227,None,None,16,0,16,0,79.27538345799985,,,,,,,,,79.27069004199438,79.27538345799985,-0.0002756670000962913,80.26989666699956,17,0,0.5,0.7,0.2,80.27046958299616,80.27577174999897,80.27577174999897,80.27577174999897,80.27577174999897,80.52035945799435,left,0.23550404099660227,None,left,0.23550404099660227,0.5,0,80.53407383299782,80.54173841699958,80.54173841699958,80.54173841699958,80.54173841699958,82.52436358299747,NA,NA,82.52505770800053,82.52517966699816,None,82.52531474999705,82.5358638329999,83.5259078329982,83.52003170799435,80.27577174999897,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
17,0,17,left,0.27244591699854936,None,None,17,0,17,0,83.5259078329982,,,,,,,,,83.5209689580006,83.5259078329982,0.0007142079994082451,84.52031412499491,18,0,0.5,0.7,0.2,84.52080829199986,84.52620004199707,84.52620004199707,84.52620004199707,84.52620004199707,84.80532041699917,left,0.27244591699854936,None,left,0.27244591699854936,0.5,0,84.81814704199496,84.82503149999684,84.82503149999684,84.82503149999684,84.82503149999684,86.80867708299775,NA,NA,86.8093549999976,86.80939658299758,None,86.80944570800057,86.81970174999879,87.80992920800054,87.80348791699362,84.52620004199707,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
18,0,18,up,0.3892919579957379,None,None,18,0,18,0,87.80992920800054,,,,,,,,,87.80416466699535,87.80992920800054,0.0005923330027144402,88.8037744999965,19,0,0.5,0.7,0.2,88.80447037499835,88.81046912499733,88.81046912499733,88.81046912499733,88.81046912499733,89.20512458299345,up,0.3892919579957379,None,up,0.3892919579957379,0.7,0,89.23186433299998,89.24022387500008,89.24022387500008,89.24022387500008,89.24022387500008,91.20883370799856,NA,NA,91.20946541699959,91.2095557079956,None,91.20967024999845,91.21936449999339,92.20992845799628,92.20340854199458,88.81046912499733,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
19,0,19,up,1.3352604589963448,None,None,19,0,19,0,92.20992845799628,,,,,,,,,92.20417679199454,92.20992845799628,0.0003841660000034608,93.20306212499418,20,0,0.5,0.7,0.2,93.20342516699748,93.20851437499368,93.20851437499368,93.20851437499368,93.20851437499368,94.55491466699459,up,1.3352604589963448,None,up,1.3352604589963448,0.7,0,94.58134095800051,94.58917554199434,94.58917554199434,94.58917554199434,94.58917554199434,96.55896324999776,NA,NA,96.55972862499766,96.55984075000015,None,96.55999570799759,96.56931099999929,97.5593625420006,97.5532920419937,93.20851437499368,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
20,0,20,left,0.39635733400064055,None,None,20,0,20,0,97.5593625420006,,,,,,,,,97.55401595799776,97.5593625420006,-0.0004813750056200661,98.54247004199715,21,0,0.5,0.7,0.2,98.54301108299842,98.55838204199972,98.55838204199972,98.55838204199972,98.55838204199972,98.96095379199687,left,0.39635733400064055,None,left,0.39635733400064055,0.5,1,98.98851591699349,98.99693629199464,98.99693629199464,98.99693629199464,98.99693629199464,100.96973724999407,NA,NA,100.97038212500047,100.97045641699515,None,100.97055549999641,100.97569354199368,101.96867112499604,101.95908229199995,98.55262729199603,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
21,0,21,up,0.37490695800079266,None,None,21,0,21,0,101.96867112499604,,,,,,,,,101.96015674999944,101.96867112499604,0.0033523749953019433,102.95341991699388,22,0,0.5,0.7,0.2,102.95409616699908,102.96858387499378,102.96858387499378,102.96858387499378,102.96858387499378,103.35494970799482,up,0.37490695800079266,None,up,0.37490695800079266,0.7,1,103.3811818749964,103.39001074999396,103.39001074999396,103.39001074999396,103.39001074999396,105.35907608299749,NA,NA,105.35981512499711,105.35991512499459,None,105.36006374999852,105.36928445800004,106.36106304199348,106.35392191699793,102.95942287499929,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
22,0,22,up,0.36793362499884097,None,None,22,0,22,0,106.36106304199348,,,,,,,,,106.35494212499907,106.36106304199348,0.0011692920015775599,107.35342429199954,23,0,0.5,0.7,0.2,107.35398204199737,107.3597994169977,107.3597994169977,107.3597994169977,107.3597994169977,107.73745279199647,up,0.36793362499884097,None,up,0.36793362499884097,0.7,1,107.76330354200036,107.77195224999741,107.77195224999741,107.77195224999741,107.77195224999741,109.74211624999589,NA,NA,109.74271462499746,109.74281312499807,None,109.7429344169941,109.75263141699543,110.74364349999814,110.73709483299899,107.3597994169977,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
23,0,23,left,0.2869779999964521,None,None,23,0,23,0,110.74364349999814,,,,,,,,,110.73786254199513,110.74364349999814,0.0008397080018767156,111.73719591699773,24,0,0.5,0.7,0.2,111.73777191699628,111.74401083299745,111.74401083299745,111.74401083299745,111.74401083299745,112.03802516699943,left,0.2869779999964521,None,left,0.2869779999964521,0.5,0,112.06667474999995,112.07494154199958,112.07494154199958,112.07494154199958,112.07494154199958,114.04175679199398,NA,NA,114.04234541699407,114.04241833299602,None,114.04250445799698,114.05215841699828,115.04193295799632,115.03602770799625,111.74401083299745,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
24,0,24,left,0.3890974579990143,None,None,24,0,24,0,115.04193295799632,,,,,,,,,115.03700212499825,115.04193295799632,-0.00046529100654879585,116.03651487499883,25,0,0.5,0.7,0.2,116.03678254199622,116.0416222079948,116.0416222079948,116.0416222079948,116.0416222079948,116.43691395799397,left,0.3890974579990143,None,left,0.3890974579990143,0.5,0,116.4488040829965,116.45537383299961,116.45537383299961,116.45537383299961,116.45537383299961,118.4420804170004,NA,NA,118.44260045799456,118.4426308330003,None,118.44267324999964,118.4525351669945,119.44113499999366,119.43623674999981,116.0416222079948,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
25,0,25,up,1.4371701670024777,None,None,25,0,25,0,119.44113499999366,,,,,,,,,119.43664200000057,119.44113499999366,0.009803416003705934,120.4255942499949,26,0,0.5,0.7,0.2,120.42589745799341,120.43503549999878,120.43503549999878,120.43503549999878,120.43503549999878,121.87724341699504,up,1.4371701670024777,None,up,1.4371701670024777,0.7,1,121.90272616699804,121.91098233299999,121.91098233299999,121.91098233299999,121.91098233299999,123.8859760829946,NA,NA,123.88663299999462,123.88674429199455,None,123.88687712499814,123.89228858299612,124.88598354199348,124.87563108299946,120.43503549999878,,,,33928,001,2025-10-22_14h41.18.164,regret_experiment,2024.2.4,None,0,0.5,0.7,0.2,2025-10-22 14h41.30.403010 -0700,
