thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.06463970901677385,0.09511020901845768,0.09511020901845768,8.399990000005346,space,8.163723166973796,None,,,,,,2,0.7,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
0,0,0,left,1.377410167013295,None,None,,,0,0,0,0,9.089766709017567,,,,,,,,,8.407160834001843,9.089766709017567,0.007132333004847169,9.406001875002403,1,2,0.7,0.5,0.2,9.406337667023763,9.420590874971822,9.420590874971822,9.420590874971822,9.420590874971822,10.808093625004403,left,1.377410167013295,None,left,1.377410167013295,0.7,0,10.836933084006887,10.850535208999645,10.850535208999645,10.850535208999645,10.850535208999645,12.812638541974593,NA,NA,12.813253416970838,12.813300625013653,None,12.813351334014442,12.823334917018656,13.81254762498429,13.807210292026866,,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
1,0,1,left,0.769057540979702,None,None,,,1,0,1,0,13.81254762498429,,,,,,,,,13.80809408397181,13.81254762498429,-0.0007036669994704425,14.807051708979998,2,2,0.7,0.5,0.2,14.807533834013157,14.812408459023573,14.812408459023573,14.812408459023573,14.812408459023573,15.591502666997258,left,0.769057540979702,None,left,0.769057540979702,0.7,1,15.604077459021937,15.625391124980524,15.625391124980524,15.625391124980524,15.625391124980524,17.59504745900631,NA,NA,17.59564945899183,17.59568999998737,None,17.59576645900961,17.605802959005814,18.594922874995973,18.59010237501934,14.812408459023573,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
2,0,2,left,0.5756665000226349,None,None,,,2,0,2,0,18.594922874995973,,,,,,,,,18.590484209009446,18.594922874995973,-0.0007500419742427766,19.57975729199825,3,2,0.7,0.5,0.2,19.58003783400636,19.589035250013694,19.589035250013694,19.589035250013694,19.589035250013694,20.17303050000919,left,0.5756665000226349,None,left,0.5756665000226349,0.7,1,20.188211459026206,20.195817333995365,20.195817333995365,20.195817333995365,20.195817333995365,22.17753816698678,NA,NA,22.17840149998665,22.17851612501545,None,22.1786310839816,22.189794834004715,23.17886341700796,23.17289945902303,19.589035250013694,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
3,0,3,left,0.5463217080105096,None,None,,,3,0,3,0,23.17886341700796,,,,,,,,,23.173667208990082,23.17886341700796,0.0003184169763699174,24.17351570900064,4,2,0.7,0.5,0.2,24.17377975001,24.178991083987057,24.178991083987057,24.178991083987057,24.178991083987057,24.729984959005378,left,0.5463217080105096,None,left,0.5463217080105096,0.7,1,24.74269812501734,24.74996933399234,24.74996933399234,24.74996933399234,24.74996933399234,26.73938325000927,NA,NA,26.739822916977573,26.739863459020853,None,26.739944708999246,26.744260541978292,27.739196166978218,27.72843262500828,24.178991083987057,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
4,0,4,left,0.3808759999810718,None,None,,,4,0,4,0,27.739196166978218,,,,,,,,,27.728869375016075,27.739196166978218,-0.000675833027344197,28.723429917008616,5,2,0.7,0.5,0.2,28.723826541972812,28.729249334021006,28.729249334021006,28.729249334021006,28.729249334021006,29.113883375015575,left,0.3808759999810718,None,left,0.3808759999810718,0.7,1,29.12656079197768,29.134530459006783,29.134530459006783,29.134530459006783,29.134530459006783,31.122001833980903,NA,NA,31.123124666977674,31.123161084018648,None,31.12322187499376,31.127534084022045,32.12741158402059,32.122118416999,28.729249334021006,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
5,0,5,left,0.48582600004738197,None,None,,,5,0,5,0,32.12741158402059,,,,,,,,,32.122461959021166,32.12741158402059,-0.000719917006790638,33.12214975000825,6,2,0.7,0.5,0.2,33.122689666983206,33.1272029170068,33.1272029170068,33.1272029170068,33.1272029170068,33.62456424999982,left,0.48582600004738197,None,left,0.48582600004738197,0.7,1,33.6391405420145,33.64604529197095,33.64604529197095,33.64604529197095,33.64604529197095,35.6265417499817,NA,NA,35.6271895840182,35.62722379202023,None,35.62727641698439,35.63833541702479,36.63373454200337,36.62254962499719,33.1272029170068,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
6,0,6,left,0.3530176660278812,None,None,,,6,0,6,0,36.63373454200337,,,,,,,,,36.62883308401797,36.63373454200337,0.001590500003658235,37.6223170000012,7,2,0.7,0.5,0.2,37.62270245898981,37.627349584014155,37.627349584014155,37.627349584014155,37.627349584014155,37.989669499977026,left,0.3530176660278812,None,left,0.3530176660278812,0.7,0,38.00324741698569,38.00990429200465,38.00990429200465,38.00990429200465,38.00990429200465,39.99305941700004,NA,NA,39.99370187497698,39.99373583402485,None,39.993781749974005,40.004891209013294,40.993360084015876,40.988534791977145,37.627349584014155,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
7,0,7,left,0.29187904205173254,None,None,,,7,0,7,0,40.993360084015876,,,,,,,,,40.989101417013444,40.993360084015876,-0.00036745803663507104,41.97649091697531,8,2,0.7,0.5,0.2,41.9769513339852,41.992530875024386,41.992530875024386,41.992530875024386,41.992530875024386,42.289880624972284,left,0.29187904205173254,None,left,0.29187904205173254,0.7,1,42.301177542016376,42.30988279200392,42.30988279200392,42.30988279200392,42.30988279200392,44.292939834005665,NA,NA,44.29354937502649,44.2935873750248,None,44.2936321250163,44.30477179202717,45.30918541701976,45.2886435840046,41.9873230420053,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
8,0,8,up,0.37148020800668746,None,None,,,8,0,8,0,45.30918541701976,,,,,,,,,45.28911545901792,45.30918541701976,0.015636917029041797,46.29272529197624,9,2,0.7,0.5,0.2,46.293361541989725,46.304653999977745,46.304653999977745,46.304653999977745,46.304653999977745,46.67839262500638,up,0.37148020800668746,None,up,0.37148020800668746,0.5,0,46.691170374979265,46.699964834027924,46.699964834027924,46.699964834027924,46.699964834027924,48.687935125024524,NA,NA,48.688465084007476,48.68850133399246,None,48.6885619169916,48.692895792017225,49.694360124995,49.68819575000089,46.304653999977745,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
9,0,9,up,0.33446979196742177,None,None,,,9,0,9,0,49.694360124995,,,,,,,,,49.68903324997518,49.694360124995,0.0005097910179756582,50.68906695902115,10,2,0.7,0.5,0.2,50.689331499976106,50.69405166700017,50.69405166700017,50.69405166700017,50.69405166700017,51.04823245899752,up,0.33446979196742177,None,up,0.33446979196742177,0.5,0,51.062168875010684,51.06889770901762,51.06889770901762,51.06889770901762,51.06889770901762,53.05442587501602,NA,NA,53.055540666973684,53.055576500017196,None,53.05563879199326,53.06002537498716,54.060479416977614,54.054758541984484,50.69405166700017,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
10,0,10,up,0.38092387502547354,None,None,,,10,0,10,0,54.060479416977614,,,,,,,,,54.05545854201773,54.060479416977614,-0.00013470801059156656,55.04440820898162,11,2,0.7,0.5,0.2,55.044720874982886,55.05483600002481,55.05483600002481,55.05483600002481,55.05483600002481,55.44038379198173,up,0.38092387502547354,None,up,0.38092387502547354,0.5,1,55.45239620900247,55.45973862498067,55.45973862498067,55.45973862498067,55.45973862498067,57.44265987497056,NA,NA,57.44343562499853,57.44347854197258,None,57.44353754201438,57.454027833999135,58.4431574170012,58.43791529198643,55.05483600002481,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
11,0,11,up,0.3354510419885628,None,None,,,11,0,11,0,58.4431574170012,,,,,,,,,58.43887066701427,58.4431574170012,-0.0003165840171277523,59.427540500008035,12,2,0.7,0.5,0.2,59.42785558401374,59.4375069590169,59.4375069590169,59.4375069590169,59.4375069590169,59.78038962499704,up,0.3354510419885628,None,up,0.3354510419885628,0.5,1,59.79236870899331,59.80053374997806,59.80053374997806,59.80053374997806,59.80053374997806,61.78730516700307,NA,NA,61.788075542019214,61.78811079199659,None,61.78816433402244,61.792208625003695,62.787299041985534,62.77537987497635,59.4375069590169,,,,,,,,,,,33952,001,2025-11-11_16h41.24.044,regret_experiment,2024.2.4,None,2,0.7,0.5,0.2,2025-11-11 16h41.37.547004 -0800,
