thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.005621291929855943,0.012229416985064745,0.012229416985064745,7.626972707919776,space,7.586880832910538,None,,,,,,2,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
0,0,0,right,1.7017066250555217,None,None,,,0,0,0,0,8.150547541910782,,,,,,,,,7.628707082942128,8.150547541910782,0.001726000104099512,8.637680083047599,1,2,0.5,0.7,0.2,8.638074750080705,8.650958582991734,8.650958582991734,8.650958582991734,8.650958582991734,10.361224583117291,right,1.7017066250555217,None,right,1.7017066250555217,0.2,0,10.378454917110503,10.39602250000462,10.39602250000462,10.39602250000462,10.39602250000462,12.37269925000146,NA,NA,12.372999374987558,12.373039833037183,None,12.373107250081375,12.385855917120352,13.385875292122364,13.373034375021234,,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
1,0,1,left,0.640210916986689,None,None,,,1,0,1,0,13.385875292122364,,,,,,,,,13.373423208016902,13.385875292122364,0.0003616251051425934,14.373038332909346,2,2,0.5,0.7,0.2,14.373341582948342,14.38601145800203,14.38601145800203,14.38601145800203,14.38601145800203,15.02808512491174,left,0.640210916986689,None,left,0.640210916986689,0.5,0,15.04300337494351,15.047501583117992,15.047501583117992,15.047501583117992,15.047501583117992,17.03945970791392,NA,NA,17.039918042020872,17.0399553750176,None,17.04002650012262,17.05293754208833,18.0526100830175,18.03967604204081,14.38601145800203,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
2,0,2,up,0.41342550003901124,None,None,,,2,0,2,0,18.0526100830175,,,,,,,,,18.04012474999763,18.0526100830175,0.0001444169320166111,19.039643583120778,3,2,0.5,0.7,0.2,19.039927124977112,19.052643208066,19.052643208066,19.052643208066,19.052643208066,19.467824666993693,up,0.41342550003901124,None,up,0.41342550003901124,0.7,1,19.480966957984492,19.48537250002846,19.48537250002846,19.48537250002846,19.48537250002846,21.479382707970217,NA,NA,21.479747249977663,21.47978595807217,None,21.479859750019386,21.49268454196863,22.492676541907713,22.479573792079464,19.052643208066,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
3,0,3,left,0.36424900009296834,None,None,,,3,0,3,0,22.492676541907713,,,,,,,,,22.47996750008315,22.492676541907713,0.00015608384273946285,23.4796701669693,4,2,0.5,0.7,0.2,23.479968708008528,23.492727833101526,23.492727833101526,23.492727833101526,23.492727833101526,23.867450958117843,left,0.36424900009296834,None,left,0.36424900009296834,0.5,0,23.882474292069674,23.886819458100945,23.886819458100945,23.886819458100945,23.886819458100945,25.87819579197094,NA,NA,25.87862024991773,25.878653374966234,None,25.878726541996002,25.89140108297579,,26.880451041972265,23.492727833101526,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
4,0,4,right,0.413486999925226,None,None,,,4,0,4,0,26.892320750048384,,,,,,,,,26.8809024579823,26.892320750048384,0.0022230830509215593,27.879663249943405,5,2,0.5,0.7,0.2,27.879996666917577,27.892895207973197,27.892895207973197,27.892895207973197,27.892895207973197,28.308574042050168,right,0.413486999925226,None,right,0.413486999925226,0.2,0,28.324273250065744,28.328552416991442,28.328552416991442,28.328552416991442,28.328552416991442,30.320597250014544,NA,NA,30.32108095800504,30.32111916691065,None,30.321192000061274,30.333576125092804,31.333905041916296,31.32021233299747,,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
5,0,5,up,0.46756912488490343,None,None,,,5,0,5,0,31.333905041916296,,,,,,,,,31.32061787508428,31.333905041916296,-0.0005272089038044214,32.319141667103395,6,2,0.5,0.7,0.2,32.31940704211593,32.33370349998586,32.33370349998586,32.33370349998586,32.33370349998586,32.813120167003945,up,0.46756912488490343,None,up,0.46756912488490343,0.7,1,32.82505924999714,32.82932783290744,32.82932783290744,32.82932783290744,32.82932783290744,34.813673542113975,NA,NA,34.814008000073954,34.81404120801017,None,34.81410970794968,34.82666841708124,35.826724166981876,35.814029291970655,32.33370349998586,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
6,0,6,up,0.5205487920902669,None,None,,,6,0,6,0,35.826724166981876,,,,,,,,,35.81441433308646,35.826724166981876,0.00035179220139980316,36.81260608299635,7,2,0.5,0.7,0.2,36.812909125117585,36.82564558298327,36.82564558298327,36.82564558298327,36.82564558298327,37.34809874999337,up,0.5205487920902669,None,up,0.5205487920902669,0.7,1,37.36037370795384,37.36852845805697,37.36852845805697,37.36852845805697,37.36852845805697,39.36060083308257,NA,NA,39.360959083074704,39.36099791713059,None,39.3610787501093,39.37331729196012,40.3732679579407,40.35992674995214,36.82564558298327,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
7,0,7,up,0.533811166882515,None,None,,,7,0,7,0,40.3732679579407,,,,,,,,,40.36035087495111,40.3732679579407,-0.0006791669875383377,41.36115779192187,8,2,0.5,0.7,0.2,41.36145150009543,41.37269250000827,41.37269250000827,41.37269250000827,41.37269250000827,41.90826858300716,up,0.533811166882515,None,up,0.533811166882515,0.7,1,41.920933791901916,41.92523266701028,41.92523266701028,41.92523266701028,41.92523266701028,43.91997729195282,NA,NA,43.92031825007871,43.92035479191691,None,43.92044483311474,43.93383300001733,44.93389095808379,44.919878292130306,41.37269250000827,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
8,0,8,up,0.44553429214283824,None,None,,,8,0,8,0,44.93389095808379,,,,,,,,,44.92028725007549,44.93389095808379,-0.0001118748914450407,45.91946975002065,9,2,0.5,0.7,0.2,45.91974924993701,45.9320706250146,45.9320706250146,45.9320706250146,45.9320706250146,46.38692083302885,up,0.44553429214283824,None,up,0.44553429214283824,0.7,1,46.40106191695668,46.40550808305852,46.40550808305852,46.40550808305852,46.40550808305852,48.38736162497662,NA,NA,48.38774979207665,48.3877842919901,None,48.387856292072684,48.39922070805915,49.399964082986116,49.38450412498787,45.9320706250146,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
9,0,9,up,0.34347058390267193,None,None,,,9,0,9,0,49.399964082986116,,,,,,,,,49.38495129207149,49.399964082986116,0.012188374996185303,50.384822082938626,10,2,0.5,0.7,0.2,50.385110333096236,50.40055204206146,50.40055204206146,50.40055204206146,50.40055204206146,50.74636391713284,up,0.34347058390267193,None,up,0.34347058390267193,0.7,1,50.75878916704096,50.76335725001991,50.76335725001991,50.76335725001991,50.76335725001991,52.747384124901146,NA,NA,52.74778004200198,52.74781575007364,None,52.74788558296859,52.75949995801784,53.76034929207526,53.74563370808028,50.40055204206146,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
10,0,10,up,0.4155840000603348,None,None,,,10,0,10,0,53.76034929207526,,,,,,,,,53.746040208032355,53.76034929207526,0.012537042144685984,54.747695917030796,11,2,0.5,0.7,0.2,54.74796991702169,54.760477792005986,54.760477792005986,54.760477792005986,54.760477792005986,55.186046374961734,up,0.4155840000603348,None,up,0.4155840000603348,0.7,1,55.19837912498042,55.202608166961,55.202608166961,55.202608166961,55.202608166961,57.18637700006366,NA,NA,57.18676508311182,57.186803749995306,None,57.18685529194772,57.199659208068624,58.20020304201171,58.18690224993043,54.760477792005986,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
11,0,11,up,0.5520685419905931,None,None,,,11,0,11,0,58.20020304201171,,,,,,,,,58.18735433300026,58.20020304201171,0.0005349169950932264,59.186224499950185,12,2,0.5,0.7,0.2,59.18651962513104,59.20048787491396,59.20048787491396,59.20048787491396,59.20048787491396,59.76076700002886,up,0.5520685419905931,None,up,0.5520685419905931,0.7,1,59.77298995805904,59.777616542065516,59.777616542065516,59.777616542065516,59.777616542065516,61.77179816691205,NA,NA,61.77222262509167,61.77225845796056,None,61.77232900005765,61.787060166941956,,62.77383029204793,59.20048787491396,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
12,0,12,up,0.765578999882564,None,None,,,12,0,12,0,62.786298874998465,,,,,,,,,62.77428637491539,62.786298874998465,0.002006791066378355,63.7712195829954,13,2,0.5,0.7,0.2,63.77149120811373,63.78736129193567,63.78736129193567,63.78736129193567,63.78736129193567,64.56124008307233,up,0.765578999882564,None,up,0.765578999882564,0.7,0,64.57481525000185,64.57918537501246,64.57918537501246,64.57918537501246,64.57918537501246,66.57133737509139,NA,NA,66.57169779203832,66.57172716711648,None,66.57177354209125,66.58460095804185,,67.57419095793739,63.78736129193567,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
13,0,13,left,0.5599283331539482,None,None,,,13,0,13,0,67.58551370794885,,,,,,,,,67.57471116702072,67.58551370794885,0.0029745001811534166,68.57382658310235,14,2,0.5,0.7,0.2,68.57418404193595,68.58663733303547,68.58663733303547,68.58663733303547,68.58663733303547,69.14858191693202,left,0.5599283331539482,None,left,0.5599283331539482,0.5,0,69.16195012512617,69.16624116711318,69.16624116711318,69.16624116711318,69.16624116711318,71.1593378749676,NA,NA,71.15968241705559,71.15971683291718,None,71.15978929190896,71.1735485829413,72.17422325001098,72.16003041691147,,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
