thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.005747708026319742,0.01260095788165927,0.01260095788165927,3.6958703747950494,space,3.6544481669552624,None,,,,,,0,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
0,0,0,up,1.7507230825722218,None,None,0,0,0,0,4.218604916706681,,,,,,,,,3.697318332735449,4.218604916706681,0.001444291789084673,4.701062416657805,1,0,0.2,0.5,0.7,4.7014675829559565,4.714627542067319,4.714627542067319,4.714627542067319,4.714627542067319,6.475451999809593,up,1.7507230825722218,None,up,1.7507230825722218,0.5,1,6.492919416632503,6.5154010420665145,6.5154010420665145,6.5154010420665145,6.5154010420665145,8.487670207861811,NA,NA,8.488134207669646,8.488189791794866,None,8.488268832676113,8.500884499866515,9.501015749759972,9.488204875029624,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
1,0,1,up,1.3736363747157156,None,None,1,0,1,0,9.501015749759972,,,,,,,,,9.488655707798898,9.501015749759972,0.0004393751733005047,10.488018416799605,2,0,0.2,0.5,0.7,10.48832624964416,10.500924749765545,10.500924749765545,10.500924749765545,10.500924749765545,11.876595125067979,up,1.3736363747157156,None,up,1.3736363747157156,0.5,1,11.891519374679774,11.900817374698818,11.900817374698818,11.900817374698818,11.900817374698818,13.887906457763165,NA,NA,13.888271207921207,13.888305916916579,None,13.888380666729063,13.9008755418472,14.900890707969666,14.88840466691181,10.500924749765545,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
2,0,2,up,0.9888695003464818,None,None,2,0,2,0,14.900890707969666,,,,,,,,,14.888847541995347,14.900890707969666,0.0005166251212358475,15.888054332695901,3,0,0.2,0.5,0.7,15.888381791766733,15.900800166651607,15.900800166651607,15.900800166651607,15.900800166651607,16.902110958006233,up,0.9888695003464818,None,up,0.9888695003464818,0.5,0,16.918129041790962,16.922699082642794,16.922699082642794,16.922699082642794,16.922699082642794,18.91462545795366,NA,NA,18.915068916976452,18.915109041612595,None,18.91518862498924,18.92782466672361,19.927629791665822,19.914978332817554,15.900800166651607,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
3,0,3,right,1.0580192916095257,None,None,3,0,3,0,19.927629791665822,,,,,,,,,19.915434082970023,19.927629791665822,0.000298874918371439,20.91503395792097,4,0,0.2,0.5,0.7,20.915422666817904,20.927549874875695,20.927549874875695,20.927549874875695,20.927549874875695,21.995615957770497,right,1.0580192916095257,None,right,1.0580192916095257,0.7,1,22.01041662506759,22.014952667057514,22.014952667057514,22.014952667057514,22.014952667057514,24.008117042016238,NA,NA,24.00847812462598,24.00851058261469,None,24.008579291868955,24.021009041927755,,25.009159749839455,20.927549874875695,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
4,0,4,right,0.901143416762352,None,None,4,0,4,0,25.02064845804125,,,,,,,,,25.00965783279389,25.02064845804125,0.0011242078617215157,26.008622707799077,5,0,0.2,0.5,0.7,26.00896433275193,26.020705624949187,26.020705624949187,26.020705624949187,26.020705624949187,26.928469124715775,right,0.901143416762352,None,right,0.901143416762352,0.7,0,26.943412499967963,26.948022957891226,26.948022957891226,26.948022957891226,26.948022957891226,28.93962762504816,NA,NA,28.939909874927253,28.93993066670373,None,28.93997291661799,28.95303991669789,,29.941813624929637,26.020705624949187,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
5,0,5,left,0.8735429579392076,None,None,5,0,5,0,29.952742124907672,,,,,,,,,29.94242545776069,29.952742124907672,0.0024876249954104424,30.939645791891962,6,0,0.2,0.5,0.7,30.939869082998484,30.95258566690609,30.95258566690609,30.95258566690609,30.95258566690609,31.836878166999668,left,0.8735429579392076,None,left,0.8735429579392076,0.2,0,31.85008224984631,31.85309304203838,31.85309304203838,31.85309304203838,31.85309304203838,33.8475347077474,NA,NA,33.847867666743696,33.84789837477729,None,33.847947999835014,33.85967666702345,,34.84824058273807,30.95258566690609,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
6,0,6,up,0.9243552922271192,None,None,6,0,6,0,34.86270795762539,,,,,,,,,34.84895845782012,34.86270795762539,0.0010500000789761543,35.848727041855454,7,0,0.2,0.5,0.7,35.84911879198626,35.86156370770186,35.86156370770186,35.86156370770186,35.86156370770186,36.79523770790547,up,0.9243552922271192,None,up,0.9243552922271192,0.5,0,36.809262374881655,36.81378912506625,36.81378912506625,36.81378912506625,36.81378912506625,38.80892733298242,NA,NA,38.809294749982655,38.80932979192585,None,38.80940374964848,38.82076641684398,39.82179524982348,39.80708449985832,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
7,0,7,up,0.4465463748201728,None,None,7,0,7,0,39.82179524982348,,,,,,,,,39.807539416942745,39.82179524982348,0.012480624951422215,40.80822804197669,8,0,0.2,0.5,0.7,40.80856033274904,40.819158291909844,40.819158291909844,40.819158291909844,40.819158291909844,41.2742061666213,up,0.4465463748201728,None,up,0.4465463748201728,0.5,1,41.28690766682848,41.29158354178071,41.29158354178071,41.29158354178071,41.29158354178071,43.274995791725814,NA,NA,43.27535899961367,43.27539658267051,None,43.27547274995595,43.288081124890596,44.287976916879416,44.27513054199517,40.819158291909844,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
8,0,8,right,0.6333274161443114,None,None,8,0,8,0,44.287976916879416,,,,,,,,,44.27560570789501,44.287976916879416,0.00018520886078476906,45.273192416876554,9,0,0.2,0.5,0.7,45.27351870806888,45.28819574974477,45.28819574974477,45.28819574974477,45.28819574974477,45.92833966668695,right,0.6333274161443114,None,right,0.6333274161443114,0.7,0,45.94209291692823,45.946612999774516,45.946612999774516,45.946612999774516,45.946612999774516,47.939188707619905,NA,NA,47.93960795784369,47.93964712461457,None,47.93973141675815,47.95509154163301,,48.94185295794159,45.28819574974477,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
