thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.007235750090330839,0.01333341607823968,0.01333341607823968,2.0789590408094227,space,2.063404083251953,None,,,,,,1,0.5,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
0,0,0,up,0.9725099583156407,None,2,1.7771507077850401,None,0,0,0,0,2.5986911659128964,,,,,,,,,2.080653832759708,2.5986911659128964,0.001672500278800726,3.090434624813497,1,1,0.5,0.2,0.7,3.090892333071679,3.103215957991779,3.103215957991779,3.103215957991779,3.103215957991779,4.078254874795675,up,0.9725099583156407,None,up,0.9725099583156407,0.2,0,4.099020790774375,4.123974457848817,4.123974457848817,4.123974457848817,4.123974457848817,6.089488124940544,6.099488249979913,6.103718458209187,6.103718458209187,6.103718458209187,6.103718458209187,6.103718458209187,7.891567666083574,2,1.7771507077850401,None,2,1.7771507077850401,7.891673707868904,7.903456875123084,8.903832333162427,8.890903749968857,,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
1,0,1,left,0.6659979578107595,None,None,,,1,0,1,0,8.903832333162427,,,,,,,,,8.891397416125983,8.903832333162427,-0.00022612512111663818,9.890637500211596,2,1,0.5,0.2,0.7,9.890976583119482,9.903773124795407,9.903773124795407,9.903773124795407,9.903773124795407,10.572147749830037,left,0.6659979578107595,None,left,0.6659979578107595,0.5,1,10.586984124965966,10.593570082914084,10.593570082914084,10.593570082914084,10.593570082914084,12.583930124994367,12.584362666122615,,,,,,12.584398000035435,None,,,NA,NA,12.584471125155687,12.59705145796761,13.596992874983698,13.584495291113853,9.903773124795407,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
2,0,2,left,1.0042643751949072,None,2,1.0531697077676654,None,2,0,2,0,13.596992874983698,,,,,,,,,13.585017166100442,13.596992874983698,0.0006030001677572727,14.583541040774435,3,1,0.5,0.2,0.7,14.583853083197027,14.596393791027367,14.596393791027367,14.596393791027367,14.596393791027367,15.610972290858626,left,1.0042643751949072,None,left,1.0042643751949072,0.5,0,15.627316541038454,15.636830999981612,15.636830999981612,15.636830999981612,15.636830999981612,17.623288500122726,17.631174541078508,17.636074000038207,17.636074000038207,17.636074000038207,17.636074000038207,17.636074000038207,18.692135790828615,2,1.0531697077676654,None,2,1.0531697077676654,18.69223479088396,18.70364512503147,19.703213333152235,19.69004208315164,14.596393791027367,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
3,0,3,up,0.5324888750910759,None,2,1.1721116248518229,None,3,0,3,0,19.703213333152235,,,,,,,,,19.69054470816627,19.703213333152235,0.011070583947002888,20.690732750110328,4,1,0.5,0.2,0.7,20.69117079116404,20.70364095782861,20.70364095782861,20.70364095782861,20.70364095782861,21.238154124934226,up,0.5324888750910759,None,up,0.5324888750910759,0.2,0,21.252981999889016,21.258292958140373,21.258292958140373,21.258292958140373,21.258292958140373,23.249879874754697,23.258413415867835,23.26347795780748,23.26347795780748,23.26347795780748,23.26347795780748,23.26347795780748,24.43835266586393,2,1.1721116248518229,None,2,1.1721116248518229,24.438459207769483,24.450145083013922,25.448178040795028,25.435812290757895,20.70364095782861,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
4,0,4,left,0.3903771252371371,None,1,0.9598010829649866,None,4,0,4,0,25.448178040795028,,,,,,,,,25.436231708154082,25.448178040795028,0.009813250042498112,26.43763745808974,5,1,0.5,0.2,0.7,26.437981207855046,26.450472500175238,26.450472500175238,26.450472500175238,26.450472500175238,26.850465291179717,left,0.3903771252371371,None,left,0.3903771252371371,0.5,0,26.865072166081518,26.869425707962364,26.869425707962364,26.869425707962364,26.869425707962364,28.863106083124876,28.871798750013113,28.876490958034992,28.876490958034992,28.876490958034992,28.876490958034992,28.876490958034992,29.8388626659289,1,0.9598010829649866,None,1,0.9598010829649866,29.83897970803082,29.849947415757924,30.849428082816303,30.83727837493643,26.450472500175238,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
5,0,5,left,0.3452030001208186,None,None,,,5,0,5,0,30.849428082816303,,,,,,,,,30.837738249916583,30.849428082816303,0.010557041969150305,31.83742658281699,6,1,0.5,0.2,0.7,31.837747291196138,31.850455624982715,31.850455624982715,31.850455624982715,31.850455624982715,32.1981838750653,left,0.3452030001208186,None,left,0.3452030001208186,0.5,1,32.211929582990706,32.21702220803127,32.21702220803127,32.21702220803127,32.21702220803127,34.21046187495813,34.21086437487975,,,,,,34.210897791199386,None,,,NA,NA,34.21097325021401,34.22369783278555,35.22383266594261,35.21073754085228,31.850455624982715,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
6,0,6,left,0.8821804588660598,None,1,0.7535441247746348,None,6,0,6,0,35.22383266594261,,,,,,,,,35.21122887497768,35.22383266594261,0.0003092503175139427,36.21011595800519,7,1,0.5,0.2,0.7,36.21043320791796,36.223143165931106,36.223143165931106,36.223143165931106,36.223143165931106,37.11842708289623,left,0.8821804588660598,None,left,0.8821804588660598,0.5,0,37.133204500190914,37.138073707930744,37.138073707930744,37.138073707930744,37.138073707930744,39.129534707870334,39.137819833122194,39.14393208315596,39.14393208315596,39.14393208315596,39.14393208315596,39.14393208315596,39.905100957956165,1,0.7535441247746348,None,1,0.7535441247746348,39.90520637482405,39.91711500007659,40.916375500150025,40.90397295821458,36.223143165931106,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
7,0,7,right,0.9080211250111461,None,None,,,7,0,7,0,40.916375500150025,,,,,,,,,40.904452540911734,40.916375500150025,-0.0007036249153316021,41.90345841599628,8,1,0.5,0.2,0.7,41.90381458308548,41.916318458039314,41.916318458039314,41.916318458039314,41.916318458039314,42.83696954092011,right,0.9080211250111461,None,right,0.9080211250111461,0.7,1,42.85072924988344,42.8559416658245,42.8559416658245,42.8559416658245,42.8559416658245,44.84965300001204,44.850144083146006,,,,,,44.85018029110506,None,,,NA,NA,44.85025779111311,44.86357287503779,,45.85033325012773,41.916318458039314,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
8,0,8,right,0.9375148750841618,None,None,,,8,0,8,0,45.86268712487072,,,,,,,,,45.850852583069354,45.86268712487072,0.0006489995867013931,46.850299540907145,9,1,0.5,0.2,0.7,46.85087479092181,46.863056874834,46.863056874834,46.863056874834,46.863056874834,47.810180000029504,right,0.9375148750841618,None,right,0.9375148750841618,0.7,1,47.823361665941775,47.828824957832694,47.828824957832694,47.828824957832694,47.828824957832694,49.81048645777628,49.810952791012824,,,,,,49.81098491605371,None,,,NA,NA,49.81105945818126,49.82327349996194,50.82288720784709,50.810231666080654,,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
9,0,9,up,0.36172749986872077,None,2,0.3326095826923847,None,9,0,9,0,50.82288720784709,,,,,,,,,50.810657790862024,50.82288720784709,-0.0003522089682519436,51.81000737519935,10,1,0.5,0.2,0.7,51.810328625142574,51.82313666585833,51.82313666585833,51.82313666585833,51.82313666585833,52.19688741583377,up,0.36172749986872077,None,up,0.36172749986872077,0.2,0,52.212379958014935,52.21725062513724,52.21725062513724,52.21725062513724,52.21725062513724,54.21019975002855,54.22129145776853,54.224185958039016,54.224185958039016,54.224185958039016,54.224185958039016,54.224185958039016,54.559169500134885,2,0.3326095826923847,None,2,0.3326095826923847,54.55927420780063,54.56988887488842,55.56983691593632,55.557185540907085,51.82313666585833,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
10,0,10,right,0.47967737540602684,None,None,,,10,0,10,0,55.56983691593632,,,,,,,,,55.55764175020158,55.56983691593632,0.010673082899302244,56.55682483315468,11,1,0.5,0.2,0.7,56.557146083097905,56.57025795802474,56.57025795802474,56.57025795802474,56.57025795802474,57.05260204104707,right,0.47967737540602684,None,right,0.47967737540602684,0.7,1,57.06568400003016,57.07062262482941,57.07062262482941,57.07062262482941,57.07062262482941,59.06324154091999,59.0637144157663,,,,,,59.06375120813027,None,,,NA,NA,59.06383041618392,59.07661729119718,60.076212583109736,60.063340624794364,56.57025795802474,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
11,0,11,right,0.359932417050004,None,2,2.0017026658169925,None,11,0,11,0,60.076212583109736,,,,,,,,,60.063829415943474,60.076212583109736,5.337456241250038e-05,61.06384745799005,12,1,0.5,0.2,0.7,61.06418554112315,61.07659391593188,61.07659391593188,61.07659391593188,61.07659391593188,61.43871850008145,right,0.359932417050004,None,right,0.359932417050004,0.7,0,61.45353899989277,61.45864937501028,61.45864937501028,61.45864937501028,61.45864937501028,63.44972712500021,63.458568666130304,63.463080041110516,63.463080041110516,63.463080041110516,63.463080041110516,63.463080041110516,65.47654116619378,2,2.0017026658169925,None,2,2.0017026658169925,65.47660616599023,65.48839954100549,66.48959979088977,66.47662487486377,61.07659391593188,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
12,0,12,left,0.31223420798778534,None,1,1.1663275831378996,None,12,0,12,0,66.48959979088977,,,,,,,,,66.4769277907908,66.48959979088977,0.0003559580072760582,67.4764597080648,13,1,0.5,0.2,0.7,67.47664541611448,67.48816845798865,67.48816845798865,67.48816845798865,67.48816845798865,67.80986133310944,left,0.31223420798778534,None,left,0.31223420798778534,0.5,0,67.82518891617656,67.82864066585898,67.82864066585898,67.82864066585898,67.82864066585898,69.82217204105109,69.82949395803735,69.83480637520552,69.83480637520552,69.83480637520552,69.83480637520552,69.83480637520552,71.01188912475482,1,1.1663275831378996,None,1,1.1663275831378996,71.01197908306494,71.02348966617137,72.02357462514192,72.01056308299303,67.48816845798865,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
13,0,13,up,0.5218192497268319,None,1,2.1615959582850337,None,13,0,13,0,72.02357462514192,,,,,,,,,72.01106149982661,72.02357462514192,-0.0008631250821053982,73.01089429110289,14,1,0.5,0.2,0.7,73.01123879104853,73.02364433277398,73.02364433277398,73.02364433277398,73.02364433277398,73.55691433278844,up,0.5218192497268319,None,up,0.5218192497268319,0.2,0,73.57200120808557,73.57683112518862,73.57683112518862,73.57683112518862,73.57683112518862,75.57035220786929,75.5790002909489,75.58307975018397,75.58307975018397,75.58307975018397,75.58307975018397,75.58307975018397,77.7587339580059,1,2.1615959582850337,None,1,2.1615959582850337,77.75883745821193,77.77017841581255,78.76944504119456,78.75664574978873,73.02364433277398,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
14,0,14,left,1.4471569592133164,None,None,,,14,0,14,0,78.76944504119456,,,,,,,,,78.7571462909691,78.76944504119456,0.010715249925851822,79.75743058277294,15,1,0.5,0.2,0.7,79.75776016619056,79.77016354119405,79.77016354119405,79.77016354119405,79.77016354119405,81.22498958278447,left,1.4471569592133164,None,left,1.4471569592133164,0.5,1,81.23819166608155,81.2429718747735,81.2429718747735,81.2429718747735,81.2429718747735,83.23634574981406,83.23692020820454,,,,,,83.23695645807311,None,,,NA,NA,83.23702912498266,83.24966779118404,,84.2372850831598,79.77016354119405,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
15,0,15,right,0.9111609999090433,None,1,1.1236847923137248,None,15,0,15,0,84.25053970795125,,,,,,,,,84.23804074991494,84.25053970795125,0.0010640830732882023,85.23740108311176,16,1,0.5,0.2,0.7,85.23774125007913,85.24973662476987,85.24973662476987,85.24973662476987,85.24973662476987,86.17080658301711,right,0.9111609999090433,None,right,0.9111609999090433,0.7,0,86.18563720816746,86.1908290409483,86.1908290409483,86.1908290409483,86.1908290409483,88.18346762517467,88.19264124985784,88.19699020776898,88.19699020776898,88.19699020776898,88.19699020776898,88.19699020776898,89.33211374981329,1,1.1236847923137248,None,1,1.1236847923137248,89.33221649983898,89.34325137501583,90.34330154117197,90.33019133284688,85.24973662476987,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
16,0,16,up,0.33724766597151756,None,1,2.253641666378826,None,16,0,16,0,90.34330154117197,,,,,,,,,90.33083120780066,90.34330154117197,0.011189457960426807,91.3309761248529,17,1,0.5,0.2,0.7,91.33130325004458,91.34337399993092,91.34337399993092,91.34337399993092,91.34337399993092,91.69026408297941,up,0.33724766597151756,None,up,0.33724766597151756,0.2,0,91.70525458315387,91.71030604094267,91.71030604094267,91.71030604094267,91.71030604094267,93.70294545777142,93.71140504116192,93.71664012502879,93.71664012502879,93.71664012502879,93.71664012502879,93.71664012502879,95.97252837475389,1,2.253641666378826,None,1,2.253641666378826,95.97264370787889,95.98271012492478,96.98288270784542,96.97044791607186,91.34337399993092,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
17,0,17,up,0.5870282910764217,None,2,1.2439235420897603,None,17,0,17,0,96.98288270784542,,,,,,,,,96.97089083306491,96.98288270784542,0.010342749767005444,97.97051024995744,18,1,0.5,0.2,0.7,97.97084366576746,97.9834229578264,97.9834229578264,97.9834229578264,97.9834229578264,98.572680125013,up,0.5870282910764217,None,up,0.5870282910764217,0.2,0,98.58842058293521,98.59367837477475,98.59367837477475,98.59367837477475,98.59367837477475,100.58365033287555,100.5926198749803,100.59709433279932,100.59709433279932,100.59709433279932,100.59709433279932,100.59709433279932,101.85139612480998,2,1.2439235420897603,None,2,1.2439235420897603,101.85149849997833,101.86312383320183,102.86283662496135,102.85012766579166,97.9834229578264,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
18,0,18,right,0.3059988343156874,None,None,,,18,0,18,0,102.86283662496135,,,,,,,,,102.85058354120702,102.86283662496135,-0.0008608340285718441,103.85004387516528,19,1,0.5,0.2,0.7,103.85036520799622,103.86379458289593,103.86379458289593,103.86379458289593,103.86379458289593,104.17197154089808,right,0.3059988343156874,None,right,0.3059988343156874,0.7,1,104.18595308298245,104.19077979121357,104.19077979121357,104.19077979121357,104.19077979121357,106.18361224979162,106.18400524975732,,,,,,106.18404116621241,None,,,NA,NA,106.18411449994892,106.1965331248939,107.19686695793644,107.18327045813203,103.86379458289593,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
19,0,19,right,0.31940679159015417,None,1,1.6016574171371758,None,19,0,19,0,107.19686695793644,,,,,,,,,107.1837642909959,107.19686695793644,-0.00029904115945100784,108.18347837496549,20,1,0.5,0.2,0.7,108.18385466607288,108.19668733282015,108.19668733282015,108.19668733282015,108.19668733282015,108.5191951659508,right,0.31940679159015417,None,right,0.31940679159015417,0.7,0,108.53461858304217,108.54007149999961,108.54007149999961,108.54007149999961,108.54007149999961,110.53032179083675,110.53944304119796,110.54364083288237,110.54364083288237,110.54364083288237,110.54364083288237,110.54364083288237,112.15742391580716,1,1.6016574171371758,None,1,1.6016574171371758,112.15752795804292,112.17054916592315,113.16950325015932,113.15749108279124,108.19668733282015,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
20,0,20,up,0.31941579189151525,None,None,,,20,0,20,0,113.16950325015932,,,,,,,,,113.15795529121533,113.16950325015932,0.00048191705718636513,114.1572374580428,21,1,0.5,0.2,0.7,114.15754958288744,114.1702936659567,114.1702936659567,114.1702936659567,114.1702936659567,114.49200375005603,up,0.31941579189151525,None,up,0.31941579189151525,0.2,1,114.50623374991119,114.51124666584656,114.51124666584656,114.51124666584656,114.51124666584656,116.50331433303654,116.50378258293495,,,,,,116.50381970778108,None,,,NA,NA,116.50389458285645,116.51655174978077,117.5166987911798,117.50389183312654,114.1702936659567,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
21,0,21,left,1.8287899168208241,None,1,1.4168922919780016,None,21,0,21,0,117.5166987911798,,,,,,,,,117.50436666607857,117.5166987911798,0.0005247499793767929,118.50388483284041,22,1,0.5,0.2,0.7,118.50423287507147,118.51659945817664,118.51659945817664,118.51659945817664,118.51659945817664,120.35831358283758,left,1.8287899168208241,None,left,1.8287899168208241,0.5,0,120.37403641594574,120.38804162479937,120.38804162479937,120.38804162479937,120.38804162479937,122.37040679110214,122.37867966620252,122.38378241611645,122.38378241611645,122.38378241611645,122.38378241611645,122.38378241611645,123.8116629999131,1,1.4168922919780016,None,1,1.4168922919780016,123.81176558276638,123.82284266594797,124.82356620812789,124.81082491576672,118.51659945817664,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
22,0,22,left,0.3322452916763723,None,1,0.7133589582517743,None,22,0,22,0,124.82356620812789,,,,,,,,,124.81133675016463,124.82356620812789,-0.0003742496483027935,125.81035524979234,23,1,0.5,0.2,0.7,125.81069395784289,125.82361670816317,125.82361670816317,125.82361670816317,125.82361670816317,126.15855649998412,left,0.3322452916763723,None,left,0.3322452916763723,0.5,0,126.17316595790908,126.17818174976856,126.17818174976856,126.17818174976856,126.17818174976856,128.17028866615146,128.17908654082566,128.18328400002792,128.18328400002792,128.18328400002792,128.18328400002792,128.18328400002792,128.90502362512052,1,0.7133589582517743,None,1,0.7133589582517743,128.90510524995625,128.91634204098955,129.91694879112765,129.90401891618967,125.82361670816317,,,,34177,001,2025-12-03_13h29.39.339,regret_experiment,,2025.1.1,75.116195512964,1,0.5,0.2,0.7,2025-12-03 13h30.36.575417 -0800,
