thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,etRecord_5.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,pointsText1.stopped,etRecord_5.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.06654195899318438,0.09770524999476038,0.09770524999476038,11.162892916996498,space,10.548332000005757,0.063956625002902,,,,,0,0.7,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
0,0,0,up,0.6573179170081858,None,None,0,0,0,0,11.18284016699181,,,,,,,,,11.165049083996564,11.18284016699181,12.170565374995931,1,0,0.7,0.5,0.2,12.171455000003334,12.692971500000567,12.692971500000567,12.692971500000567,12.692971500000567,12.692971500000567,0.008606208008131944,13.355137249993277,up,0.6573179170081858,None,up,0.6573179170081858,0.5,0,13.876475541997934,14.0927955419902,14.0927955419902,14.0927955419902,14.0927955419902,14.0927955419902,15.086720958992373,15.860879708998255,NA,NA,15.86092712500249,15.86096983400057,None,15.861041416996159,15.870838208997156,16.86171045899391,16.854926959000295,,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
1,0,1,left,0.5143700420012465,None,None,1,0,1,0,16.86171045899391,,,,,,,,,16.855276959002367,16.86171045899391,17.85446108400356,2,0,0.7,0.5,0.2,17.85538258399174,17.861680959002115,17.861680959002115,17.861680959002115,17.861680959002115,17.861680959002115,0.0014073340134928003,18.38158074999228,left,0.5143700420012465,None,left,0.5143700420012465,0.7,0,18.90314875000331,18.919520166993607,18.919520166993607,18.919520166993607,18.919520166993607,18.919520166993607,19.90880937500333,20.886969749990385,NA,NA,20.8870799169963,20.887198917000205,None,20.88737100000435,20.892638083998463,21.88559770899883,21.87654337499407,17.861680959002115,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
2,0,2,right,2.8093658329889877,None,None,2,0,2,0,21.88559770899883,,,,,,,,,21.876683875001618,21.88559770899883,22.870688875002088,3,0,0.7,0.5,0.2,22.871101791999536,22.876600874995347,22.876600874995347,22.876600874995347,22.876600874995347,22.876600874995347,-0.000862750006490387,25.701317166996887,right,2.8093658329889877,None,right,2.8093658329889877,0.2,0,25.71620641699701,25.7229858339997,25.7229858339997,25.7229858339997,25.7229858339997,25.7229858339997,26.72032587499416,27.703940334002255,NA,NA,27.70397074999346,27.703997167001944,None,27.704045167003642,27.70899970899336,28.702742749999743,28.693619249999756,22.876600874995347,23.869934458998614,1.4998827499948675,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
3,0,3,up,2.6232417080027517,None,None,3,0,3,0,28.702742749999743,,,,,,,,,28.69372308399761,28.702742749999743,29.687245499997516,4,0,0.7,0.5,0.2,29.687846208995325,29.702782833992387,29.702782833992387,29.702782833992387,29.702782833992387,29.702782833992387,-0.0006796250090701506,32.32817233400419,up,2.6232417080027517,None,up,2.6232417080027517,0.5,0,32.340917666995665,32.34814420899784,32.34814420899784,32.34814420899784,32.34814420899784,32.34814420899784,33.34252908399503,34.3362822499912,NA,NA,34.33636649999244,34.33646212499298,None,34.336586666991934,34.341373584000394,35.33558504199027,35.32683154199913,29.69274787500035,30.692904958996223,1.4994339580007363,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
4,0,4,left,0.5765760840004077,None,None,4,0,4,0,35.33558504199027,,,,,,,,,35.326944624990574,35.33558504199027,36.321011291991454,5,0,0.7,0.5,0.2,36.32165804199758,36.32820437499322,36.32820437499322,36.32820437499322,36.32820437499322,36.32820437499322,-0.0006488750077551231,36.91139883399592,left,0.5765760840004077,None,left,0.5765760840004077,0.7,0,37.43367420899449,37.44385579199297,37.44385579199297,37.44385579199297,37.44385579199297,37.44385579199297,38.443640166995465,39.41981333399599,NA,NA,39.41991549999511,39.42003012499481,None,39.42033566700411,39.42612304199429,40.419875209001475,40.409930499998154,36.32820437499322,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
5,0,5,up,1.9393915830005426,None,None,5,0,5,0,40.419875209001475,,,,,,,,,40.41014049999649,40.419875209001475,41.404029166995315,6,0,0.7,0.5,0.2,41.404349584001466,41.41102454200154,41.41102454200154,41.41102454200154,41.41102454200154,41.41102454200154,0.00027200000477023423,43.43429454199213,up,1.9393915830005426,None,up,1.9393915830005426,0.5,0,43.44816520900349,43.45547054200142,43.45547054200142,43.45547054200142,43.45547054200142,43.45547054200142,44.453002708993154,45.43628008400265,NA,NA,45.43643808399793,45.436540041991975,None,45.43670316699718,45.44237599999178,46.43641337499139,46.42705962499895,41.41102454200154,42.40939991699997,1.4993850829923758,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
6,0,6,up,0.8264157079975121,None,None,6,0,6,0,46.43641337499139,,,,,,,,,46.427239041993744,46.43641337499139,47.42124499999045,7,0,0.7,0.5,0.2,47.42169354199723,47.428010959003586,47.428010959003586,47.428010959003586,47.428010959003586,47.428010959003586,-0.0009410000056959689,48.26445149999927,up,0.8264157079975121,None,up,0.8264157079975121,0.5,1,48.78471191700373,48.792958459001966,48.792958459001966,48.792958459001966,48.792958459001966,48.792958459001966,49.78541399999813,50.769856708997395,NA,NA,50.769924791995436,50.77001166700211,None,50.77017550000164,50.775944624998374,51.76887991699914,51.76008695899509,47.428010959003586,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
7,0,7,up,0.6607150829950115,None,None,7,0,7,0,51.76887991699914,,,,,,,,,51.760194834001595,51.76887991699914,52.75294033400132,8,0,0.7,0.5,0.2,52.75330262500211,52.76858112499758,52.76858112499758,52.76858112499758,52.76858112499758,52.76858112499758,-0.000906916000531055,53.438282542003435,up,0.6607150829950115,None,up,0.6607150829950115,0.5,0,53.95927816699259,53.969393749997835,53.969393749997835,53.969393749997835,53.969393749997835,53.969393749997835,54.95909795899934,55.942362000001594,NA,NA,55.94241133399191,55.942450083995936,None,55.94253050000407,55.953124042003765,56.943220083994674,56.937724584000534,52.76286312499724,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
8,0,8,right,0.5425289159902604,None,None,8,0,8,0,56.943220083994674,,,,,,,,,56.938007666991325,56.943220083994674,57.927415750004,9,0,0.7,0.5,0.2,57.92768179200357,57.93530354199174,57.93530354199174,57.93530354199174,57.93530354199174,57.93530354199174,0.010580166999716312,58.479375416995026,right,0.5425289159902604,None,right,0.5425289159902604,0.2,1,58.99937458400382,59.008188749998226,59.008188749998226,59.008188749998226,59.008188749998226,59.008188749998226,60.00135370899807,60.986705167000764,NA,NA,60.98678449999716,60.98688583399053,None,60.98700649999955,60.99372054199921,61.99155258400424,61.98641895900073,57.93530354199174,,,,,,,,,,,347639,001,2025-08-06_15h33.36.736,regret_experiment,2024.2.4,None,0,0.7,0.5,0.2,2025-08-06 15h33.49.048264 -0700,
