thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,pointsText1.stopped,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYouMessage.stopped,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.04148337501101196,0.05484716700448189,0.05484716700448189,2.5644260840053903,space,2.0093944999971427,0.06321337500412483,,,,,,0,0.7,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
0,0,0,up,1.0354535420046886,None,None,0,0,0,0,3.093267542004469,,,,,,,,,2.565923209011089,3.093267542004469,0.0014818750059930608,3.5716601669992087,1,0,0.7,0.2,0.5,4.073707292001927,4.088494417010224,4.088494417010224,4.088494417010224,4.088494417010224,4.088494417010224,5.087211000005482,5.129328542010626,up,1.0354535420046886,None,up,1.0354535420046886,0.2,0,5.146731667002314,5.275400417012861,5.275400417012861,5.275400417012861,5.275400417012861,5.275400417012861,6.270605292011169,7.137426834000507,NA,NA,7.137453209012165,7.137497959003667,None,7.137552667001728,7.145359709000331,8.138540709012887,,,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
1,0,1,left,0.32254604100307915,None,None,1,0,1,0,8.647663125011604,,,,,,,,,8.138896792006562,8.647663125011604,0.0014055420033400878,9.142516334002721,2,0,0.7,0.2,0.5,9.64501091701095,9.653599500001292,9.653599500001292,9.653599500001292,9.653599500001292,9.653599500001292,,9.97895483400498,left,0.32254604100307915,None,left,0.32254604100307915,0.7,1,9.991085667003063,10.001178834005259,10.001178834005259,10.001178834005259,10.001178834005259,10.001178834005259,10.993249542007106,11.9872468340036,NA,NA,11.987289167009294,11.98732741700951,None,11.987393375005922,11.994766000003438,12.98772916701273,13.495843374999822,,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
2,0,2,left,0.29072799999266863,None,None,2,0,2,0,13.495843374999822,,,,,,,,,12.987842709000688,13.495843374999822,0.00048666700604371727,13.992513375007547,3,0,0.7,0.2,0.5,14.49415399999998,14.509489333999227,14.509489333999227,14.509489333999227,14.509489333999227,14.509489333999227,,14.80580645900045,left,0.29072799999266863,None,left,0.29072799999266863,0.7,0,14.81872520899924,14.828374250006163,14.828374250006163,14.828374250006163,14.828374250006163,14.828374250006163,15.826064792010584,16.809449834006955,NA,NA,16.809506625009817,16.809563334012637,None,16.809666917004506,16.81980433400895,17.804758292011684,17.80993104200752,,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
3,0,3,right,0.32694725001056213,None,None,3,0,3,0,17.80993104200752,,,,,,,,,17.804868625011295,17.80993104200752,0.00043054101115558296,18.820521000001463,4,0,0.7,0.2,0.5,19.322271709010238,19.329240917009884,19.329240917009884,19.329240917009884,19.329240917009884,19.329240917009884,,19.66311675000179,right,0.32694725001056213,None,right,0.32694725001056213,0.5,1,19.676594125005067,19.685292459005723,19.685292459005723,19.685292459005723,19.685292459005723,19.685292459005723,20.67764495901065,21.67089458400733,NA,NA,21.670947750011692,21.670980667011463,None,21.671061542001553,21.67587687500054,22.658944334005355,22.670557500008726,18.803975000002538,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
4,0,4,right,0.26566170901060104,None,None,4,0,4,0,22.670557500008726,,,,,,,,,22.659070875000907,22.670557500008726,-0.00037679199886042625,23.675542709010188,5,0,0.7,0.2,0.5,24.17764191700553,24.189957542010234,24.189957542010234,24.189957542010234,24.189957542010234,24.189957542010234,,24.461906000011368,right,0.26566170901060104,None,right,0.26566170901060104,0.5,1,24.473568125002203,24.48234579199925,24.48234579199925,24.48234579199925,24.48234579199925,24.48234579199925,25.476865875010844,26.47105750000628,NA,NA,26.471085084005608,26.471119542009546,None,26.471176709004794,26.475862209001207,27.460465209005633,27.47087383401231,23.66011975001311,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
5,0,5,right,0.433408958997461,None,None,5,0,5,0,27.47087383401231,,,,,,,,,27.460563542001182,27.47087383401231,-0.00019533399608917534,28.476083125002333,6,0,0.7,0.2,0.5,28.97808487500879,28.990497792008682,28.990497792008682,28.990497792008682,28.990497792008682,28.990497792008682,,29.428285959002096,right,0.433408958997461,None,right,0.433408958997461,0.5,0,29.44109983400267,29.450035709000076,29.450035709000076,29.450035709000076,29.450035709000076,29.450035709000076,30.44458720900002,31.436830750011723,NA,NA,31.436884209004347,31.436919750005472,None,31.43699333400582,31.44194437500846,32.42891558400879,32.436631500007934,28.459617959000752,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
6,0,6,right,0.2842835829942487,None,None,6,0,6,0,32.436631500007934,,,,,,,,,32.42903045901039,32.436631500007934,-0.00027283300005365163,33.4371830420132,7,0,0.7,0.2,0.5,33.93957529200998,33.94761450000806,33.94761450000806,33.94761450000806,33.94761450000806,33.94761450000806,,34.238815875010914,right,0.2842835829942487,None,right,0.2842835829942487,0.5,1,34.25222200001008,34.26075779199891,34.26075779199891,34.26075779199891,34.26075779199891,34.26075779199891,35.254024834008305,36.243113959004404,NA,NA,36.24316225000075,36.24320083401108,None,36.24330462500802,36.25354912500188,37.238490167001146,37.24466329200368,33.4265316670062,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
7,0,7,right,0.4483213330095168,None,None,7,0,7,0,37.24466329200368,,,,,,,,,37.23876870900858,37.24466329200368,0.0015069999935803935,38.25329208400217,8,0,0.7,0.2,0.5,38.75550608400954,38.77057041700755,38.77057041700755,38.77057041700755,38.77057041700755,38.77057041700755,,39.224984917003894,right,0.4483213330095168,None,right,0.4483213330095168,0.5,1,39.2430137090123,39.262575875007315,39.262575875007315,39.262575875007315,39.262575875007315,39.262575875007315,40.259801667009015,41.22757108400401,NA,NA,41.22786862500652,41.22794700000668,None,41.23005604201171,41.23750241700327,42.220725625011255,42.22789937500784,38.24202691701066,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
8,0,8,right,0.3855919579946203,None,None,8,0,8,0,42.22789937500784,,,,,,,,,42.221027375009726,42.22789937500784,-0.00010383399785496294,43.236676291999174,9,0,0.7,0.2,0.5,43.741517292000935,43.785846792001394,43.785846792001394,43.785846792001394,43.785846792001394,43.785846792001394,,44.19339000000036,right,0.3855919579946203,None,right,0.3855919579946203,0.5,0,44.22320870900876,44.2976383339992,44.2976383339992,44.2976383339992,44.2976383339992,44.2976383339992,45.29424983401259,46.204170500001055,NA,NA,46.20422504200542,46.20427087500866,None,46.20497370901285,46.21119691700733,47.20412629201019,47.71515741701296,43.22582620900357,,,,,,,,,,369058,001,2025-08-06_15h42.37.457,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 15h43.26.752550 -0700,
