thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.00898379203863442,0.020791125018149614,0.020791125018149614,4.321065750031266,space,4.297564208973199,None,,,,,,1,0.5,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
0,0,0,left,3.7628042089636438,None,1,3.5973626670311205,None,0,0,0,0,4.870826083992142,,,,,,,,,4.3254434170085005,4.870826083992142,0.004302457964513451,5.329256750002969,1,1,0.5,0.2,0.7,5.329635250032879,5.339643999992404,5.339643999992404,5.339643999992404,5.339643999992404,9.10453262500232,left,3.7628042089636438,None,left,3.7628042089636438,0.5,0,9.130927334015723,9.271673667011783,9.271673667011783,9.271673667011783,9.271673667011783,11.11350554204546,11.128509834001306,11.136549625021871,11.136549625021871,11.136549625021871,11.136549625021871,11.136549625021871,14.736408833996393,1,3.5973626670311205,None,1,3.5973626670311205,14.736554834002163,14.745687292015646,15.736612334032543,15.730131875025108,,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
1,0,1,left,0.9983788749668747,None,None,,,1,0,1,0,15.736612334032543,,,,,,,,,15.730704625020735,15.736612334032543,0.00015454198000952601,16.729367499996442,2,1,0.5,0.2,0.7,16.72961329203099,16.915465750033036,16.915465750033036,16.915465750033036,16.915465750033036,17.919016709027346,left,0.9983788749668747,None,left,0.9983788749668747,0.5,1,17.937625624996144,17.947360625024885,17.947360625024885,17.947360625024885,17.947360625024885,19.92926195904147,19.9295576250297,,,,,,19.929616959008854,None,,,NA,NA,19.92970870900899,19.934576875006314,20.92909587500617,20.91912245901767,16.915465750033036,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
2,0,2,left,1.5910636250046082,None,1,1.4589120000018738,None,2,0,2,0,20.92909587500617,,,,,,,,,20.919519292016048,20.92909587500617,-0.0005209170049056411,21.913728334009647,3,1,0.5,0.2,0.7,21.914046125020832,21.919995917007327,21.919995917007327,21.919995917007327,21.919995917007327,23.515105250000488,left,1.5910636250046082,None,left,1.5910636250046082,0.5,0,23.538103250029963,23.54636625002604,23.54636625002604,23.54636625002604,23.54636625002604,25.518912709027063,25.530793709040154,25.539340334013104,25.539340334013104,25.539340334013104,25.539340334013104,25.539340334013104,27.00517362501705,1,1.4589120000018738,None,1,1.4589120000018738,27.00529608404031,27.016048417019192,28.012424000015017,28.002562542038504,21.919995917007327,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
3,0,3,left,0.7784395419876091,None,None,,,3,0,3,0,28.012424000015017,,,,,,,,,28.00298433401622,28.012424000015017,0.0072282920009456575,28.996415459027048,4,1,0.5,0.2,0.7,28.996713709027972,29.0024312500027,29.0024312500027,29.0024312500027,29.0024312500027,29.797826417023316,left,0.7784395419876091,None,left,0.7784395419876091,0.5,1,29.816975374997128,29.823957125016022,29.823957125016022,29.823957125016022,29.823957125016022,31.800863459007815,31.801229709002655,,,,,,31.801294500008225,None,,,NA,NA,31.801397375005763,31.812380750023294,32.80256979202386,32.79622154199751,29.0024312500027,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
4,0,4,left,1.5404434999800287,None,1,2.2513400000170805,None,4,0,4,0,32.80256979202386,,,,,,,,,32.79667870904086,32.80256979202386,0.001262584002688527,33.79611241701059,5,1,0.5,0.2,0.7,33.79636666702572,33.80229641700862,33.80229641700862,33.80229641700862,33.80229641700862,35.34762141702231,left,1.5404434999800287,None,left,1.5404434999800287,0.5,0,35.368857334018685,35.37843762501143,35.37843762501143,35.37843762501143,35.37843762501143,37.35140600003069,37.363925375044346,37.3708526249975,37.3708526249975,37.3708526249975,37.3708526249975,37.3708526249975,39.62976920901565,1,2.2513400000170805,None,1,2.2513400000170805,39.629924625041895,39.6391719999956,40.637774375034496,40.63000479200855,33.80229641700862,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
5,0,5,left,0.4758450830122456,None,2,1.826575250015594,None,5,0,5,0,40.637774375034496,,,,,,,,,40.630699084023945,40.637774375034496,0.0008600829751230776,41.62929566699313,6,1,0.5,0.2,0.7,41.62953687499976,41.63506749999942,41.63506749999942,41.63506749999942,41.63506749999942,42.11410754203098,left,0.4758450830122456,None,left,0.4758450830122456,0.5,0,42.13596433401108,42.14595687499968,42.14595687499968,42.14595687499968,42.14595687499968,44.12006358400686,44.13282241701381,44.13943070900859,44.13943070900859,44.13943070900859,44.13943070900859,44.13943070900859,45.97105749999173,2,1.826575250015594,None,2,1.826575250015594,45.97122454200871,45.99532258399995,,46.97981470904779,41.63506749999942,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
6,0,6,up,1.1004679579637013,None,1,0.5940376249491237,None,6,0,6,0,46.987810209044255,,,,,,,,,46.98047683399636,46.987810209044255,0.009347750048618764,47.97932895901613,7,1,0.5,0.2,0.7,47.97968716704054,47.98518850002438,47.98518850002438,47.98518850002438,47.98518850002438,49.088452042022254,up,1.1004679579637013,None,up,1.1004679579637013,0.2,0,49.10895633400651,49.11936341703404,49.11936341703404,49.11936341703404,49.11936341703404,51.096312917012256,51.10858208400896,51.11582341702888,51.11582341702888,51.11582341702888,51.11582341702888,51.11582341702888,51.71442770899739,1,0.5940376249491237,None,1,0.5940376249491237,51.714566292008385,51.729765042022336,52.72190175001742,52.71368149999762,,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
7,0,7,up,0.6600991249433719,None,1,2.839038082980551,None,7,0,7,0,52.72190175001742,,,,,,,,,52.71435145899886,52.72190175001742,-0.0001414580037817359,53.71353862504475,8,1,0.5,0.2,0.7,53.71395216701785,53.72084745904431,53.72084745904431,53.72084745904431,53.72084745904431,54.38622333400417,up,0.6600991249433719,None,up,0.6600991249433719,0.2,0,54.40887800004566,54.41685249999864,54.41685249999864,54.41685249999864,54.41685249999864,56.39592320902739,56.40845987503417,56.41513883403968,56.41513883403968,56.41513883403968,56.41513883403968,56.41513883403968,59.26370287500322,1,2.839038082980551,None,1,2.839038082980551,59.26381308399141,59.27134075004142,60.2722272920073,60.26361533399904,53.72084745904431,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
8,0,8,up,0.6965684579918161,None,1,0.882573582988698,None,8,0,8,0,60.2722272920073,,,,,,,,,60.264683167042676,60.2722272920073,0.000941040983889252,61.263303874991834,9,1,0.5,0.2,0.7,61.26362333400175,61.27021916699596,61.27021916699596,61.27021916699596,61.27021916699596,61.97079987503821,up,0.6965684579918161,None,up,0.6965684579918161,0.2,0,61.99138533399673,61.99939162499504,61.99939162499504,61.99939162499504,61.99939162499504,63.9796437920304,63.99255324999103,63.99906679202104,63.99906679202104,63.99906679202104,63.99906679202104,63.99906679202104,64.88610062503722,1,0.882573582988698,None,1,0.882573582988698,64.88621066702763,64.8949169589905,65.88708683400182,65.88041879201774,61.27021916699596,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
