thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,pointsText1.stopped,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.04822504200274125,0.07094762499036733,0.07094762499036733,2.0325081670016516,space,1.4607887079910142,0.07319791700865608,,,,,,0,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
0,0,0,up,2.3212689159990987,None,None,0,0,0,0,2.560973583997111,,,,,,,,,2.034354125004029,2.560973583997111,0.0017950000037671998,3.035560959004215,1,0,0.2,0.5,0.7,3.5391483749990584,3.55522158399981,3.55522158399981,3.55522158399981,3.55522158399981,3.55522158399981,4.552507999993395,5.879553584003588,up,2.3212689159990987,None,up,2.3212689159990987,0.5,0,5.896692041991628,6.06450695899548,6.06450695899548,6.06450695899548,6.06450695899548,6.06450695899548,7.058706583993626,7.8861612920009065,NA,NA,7.886197959000128,7.886253959004534,None,7.886324749997584,7.8928766250028275,8.886236374994041,8.876861124997959,,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
1,0,1,left,0.34288583300076425,None,None,1,0,1,0,8.886236374994041,,,,,,,,,8.877646209002705,8.886236374994041,5.183300527278334e-05,9.886554500000784,2,0,0.2,0.5,0.7,10.388556874997448,10.396618917002343,10.396618917002343,10.396618917002343,10.396618917002343,10.396618917002343,,10.746403375000227,left,0.34288583300076425,None,left,0.34288583300076425,0.2,0,10.762602125003468,10.780293999996502,10.780293999996502,10.780293999996502,10.780293999996502,10.780293999996502,11.775327458992251,12.753581708995625,NA,NA,12.753617291993578,12.753659166992293,None,12.753727125003934,12.75943020900013,13.752032959004282,13.743685916997492,9.87779258399678,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
2,0,2,right,0.24001758299709763,None,None,2,0,2,0,13.752032959004282,,,,,,,,,13.744137000001501,13.752032959004282,0.004542375012533739,14.757453958998667,3,0,0.2,0.5,0.7,15.258756041992456,15.264723041997058,15.264723041997058,15.264723041997058,15.264723041997058,15.264723041997058,,15.556004708996625,right,0.24001758299709763,None,right,0.24001758299709763,0.7,1,15.570067374996142,15.577174249992822,15.577174249992822,15.577174249992822,15.577174249992822,15.577174249992822,16.57479474999127,17.558691583995824,NA,NA,17.558738291991176,17.55879254199681,None,17.558884666999802,17.56871254199359,18.559637291997205,18.553748334001284,14.741401916995528,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
3,0,3,left,0.271955792006338,None,None,3,0,3,0,18.559637291997205,,,,,,,,,18.554264292004518,18.559637291997205,0.0009283749968744814,19.559604624999338,4,0,0.2,0.5,0.7,20.06217870899127,20.091678124997998,20.091678124997998,20.091678124997998,20.091678124997998,20.091678124997998,,20.3713621670031,left,0.271955792006338,None,left,0.271955792006338,0.2,0,20.387853374995757,20.399214292003307,20.399214292003307,20.399214292003307,20.399214292003307,20.399214292003307,21.393701209002757,22.375071083995863,NA,NA,22.37512991699623,22.375186999997823,None,22.375288875002298,22.38617354199232,,23.376159791994723,19.559526666998863,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
4,0,4,right,0.32395783299580216,None,None,4,0,4,0,23.88426150000305,,,,,,,,,23.376700291992165,23.88426150000305,0.0014819579955656081,24.385768334002933,5,0,0.2,0.5,0.7,24.88793545900262,24.895616166992113,24.895616166992113,24.895616166992113,24.895616166992113,24.895616166992113,,25.22288162499899,right,0.32395783299580216,None,right,0.32395783299580216,0.7,1,25.235618541992153,25.24484608399507,25.24484608399507,25.24484608399507,25.24484608399507,25.24484608399507,26.243226833990775,27.224384667002596,NA,NA,27.224439249999705,27.224490791995777,None,27.22458574999473,27.235328374998062,28.227304000000004,28.21965483399981,,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
5,0,5,right,0.332879541994771,None,None,5,0,5,0,28.227304000000004,,,,,,,,,28.22020679200068,28.227304000000004,0.0028205409907968715,29.225738624998485,6,0,0.2,0.5,0.7,29.728055458996096,29.742120791997877,29.742120791997877,29.742120791997877,29.742120791997877,29.742120791997877,,30.07727083399368,right,0.332879541994771,None,right,0.332879541994771,0.7,1,30.089961083998787,30.102692500004196,30.102692500004196,30.102692500004196,30.102692500004196,30.102692500004196,31.091323166998336,32.0866300839989,NA,NA,32.08667499999865,32.086710374991526,None,32.086785124993185,32.092095583997434,33.085567125002854,33.076707083993824,29.225673166991328,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
6,0,6,right,0.38920962500560563,None,None,6,0,6,0,33.085567125002854,,,,,,,,,33.07709054199222,33.085567125002854,0.005114291998324916,34.09165899999789,7,0,0.2,0.5,0.7,34.59343454199552,34.62060429199482,34.62060429199482,34.62060429199482,34.62060429199482,34.62060429199482,,35.0157578340004,right,0.38920962500560563,None,right,0.38920962500560563,0.7,0,35.032647,35.050386333998176,35.050386333998176,35.050386333998176,35.050386333998176,35.050386333998176,36.04130937499576,37.01986949999991,NA,NA,37.019900917002815,37.01993195900286,None,37.01999174999946,37.02471583399165,38.01860404199397,38.01018583399127,34.075272667003446,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
7,0,7,up,0.2737719580036355,None,None,7,0,7,0,38.01860404199397,,,,,,,,,38.01070862499182,38.01860404199397,0.003409416996873915,39.02515716699418,8,0,0.2,0.5,0.7,39.52694799999881,39.53458791699086,39.53458791699086,39.53458791699086,39.53458791699086,39.53458791699086,,39.81202020899218,up,0.2737719580036355,None,up,0.2737719580036355,0.5,0,39.82479958399199,39.83541274999152,39.83541274999152,39.83541274999152,39.83541274999152,39.83541274999152,40.8251894999994,41.81854916700104,NA,NA,41.81858945899876,41.818625917003374,None,41.81867320899619,41.82546833399101,42.81795904200408,42.80952908399922,39.00667866699223,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
8,0,8,right,0.22793212499527726,None,None,8,0,8,0,42.81795904200408,,,,,,,,,42.80985266699281,42.81795904200408,-0.0005775829922640696,43.8192857499962,9,0,0.2,0.5,0.7,44.32110575000115,44.32919129199581,44.32919129199581,44.32919129199581,44.32919129199581,44.32919129199581,,44.56235866699717,right,0.22793212499527726,None,right,0.22793212499527726,0.7,0,44.57959458399273,44.59070079200319,44.59070079200319,44.59070079200319,44.59070079200319,44.59070079200319,45.585993041997426,46.56858383399958,NA,NA,46.56862216700392,46.56865804200061,None,46.56877795899345,46.57383999999729,47.567804334001266,47.55898766699829,43.8092679590045,,,,,,,,,540866,001,2025-08-06_15h50.38.879,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 15h50.51.210121 -0700,
