thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,choice_eye.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,feedback_eye.started,pointsText2.stopped,feedback_eye.stopped,Feedback.stopped,RegretRating.started,text.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,regret_eye.started,regret_eye.stopped,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,pointsText1.stopped,choice_eye.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.06279362499481067,0.09617583299404941,0.09617583299404941,5.419372542004567,space,4.79441770799167,0.08718595901154913,,,,,1,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
0,0,0,up,0.5888244999950984,None,1,2.179051208004239,None,0,0,0,0,5.450003249992733,,,,,,,,,5.42738733299484,5.450003249992733,6.419824458003859,1,1,0.2,0.5,0.7,6.420995042004506,6.942224124999484,6.942224124999484,6.942224124999484,6.942224124999484,6.942224124999484,0.0016359589935746044,7.537861125005293,up,0.5888244999950984,None,up,0.5888244999950984,0.5,0,8.060997499997029,8.811172166999313,8.811172166999313,8.811172166999313,8.811172166999313,8.811172166999313,0.021099083998706192,10.312337416995433,1.7628547089989297,10.312763166992227,10.325876917006099,10.842266749998089,10.842266749998089,10.842266749998089,10.842266749998089,10.842266749998089,10.842266749998089,0.28598112499457784,1.787137499995879,13.028222499997355,1,2.179051208004239,None,1,2.179051208004239,13.028677499998594,13.039876166993054,14.03639020799892,14.02483116700023,,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
1,0,1,right,0.8856649170047604,None,None,,,1,0,1,0,14.03639020799892,,,,,,,,,14.025047457995242,14.03639020799892,15.020607707992895,2,1,0.2,0.5,0.7,15.021227833000012,15.028574583004229,15.028574583004229,15.028574583004229,15.028574583004229,15.028574583004229,0.0007712499937042594,15.921441667000181,right,0.8856649170047604,None,right,0.8856649170047604,0.7,1,16.443448916994384,16.962183916999493,16.962183916999493,16.962183916999493,16.962183916999493,16.962183916999493,0.020733624987769872,18.461704250003095,1.5300392909994116,18.46219837499666,18.463110416996642,,,,,,,,,18.463290542000323,None,,,NA,NA,18.464054875003058,18.473400917006074,19.469335707995924,19.457433957999456,15.028574583004229,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
2,0,2,right,2.9778371669963235,None,None,,,2,0,2,0,19.469335707995924,,,,,,,,,19.45762045799347,19.469335707995924,20.453039250001893,3,1,0.2,0.5,0.7,20.453242250005133,20.464786875003483,20.464786875003483,20.464786875003483,20.464786875003483,20.464786875003483,0.001196790995891206,23.4541607919964,right,2.9778371669963235,None,right,2.9778371669963235,0.7,1,23.46618237500661,23.981410791995586,23.981410791995586,23.981410791995586,23.981410791995586,23.981410791995586,0.011561082996195182,25.476575833003153,1.51405212499958,25.476933500001905,25.477663500001654,,,,,,,,,25.477755375002744,None,,,NA,NA,25.47817508300068,25.48537920799572,26.476471749992925,26.47002170799533,20.464786875003483,21.457722417006153,1.588862375007011,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
3,0,3,right,0.8993666250025854,None,None,,,3,0,3,0,26.476471749992925,,,,,,,,,26.47044766700128,26.476471749992925,27.470355083001778,4,1,0.2,0.5,0.7,27.470958207995864,27.47986525000306,27.47986525000306,27.47986525000306,27.47986525000306,27.47986525000306,0.0023594579979544505,28.387646999995923,right,0.8993666250025854,None,right,0.8993666250025854,0.7,1,28.907625541993184,29.42380575000425,29.42380575000425,29.42380575000425,29.42380575000425,29.42380575000425,0.018545250000897795,30.930747874997905,1.5332582090049982,30.931157125000027,30.932272624995676,,,,,,,,,30.93243316699227,None,,,NA,NA,30.933138207998127,30.939218667001114,31.936184791993583,31.92543933300476,27.47986525000306,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
4,0,4,left,0.8010202910081716,None,None,,,4,0,4,0,31.936184791993583,,,,,,,,,31.92554712499259,31.936184791993583,32.92032887499954,5,1,0.2,0.5,0.7,32.920923333003884,32.929868124992936,32.929868124992936,32.929868124992936,32.929868124992936,32.929868124992936,0.002195207998738624,33.73707212500449,left,0.8010202910081716,None,left,0.8010202910081716,0.2,1,34.25674066699867,34.7751181670028,34.7751181670028,34.7751181670028,34.7751181670028,34.7751181670028,0.018122082998161204,36.269501250004396,1.5206438330060337,36.269866749993525,36.27103600000555,,,,,,,,,36.27117704199918,None,,,NA,NA,36.27178116700088,36.27716287500516,37.275763124998775,37.27038058299513,32.929868124992936,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
5,0,5,right,0.5687833750125719,None,None,,,5,0,5,0,37.275763124998775,,,,,,,,,37.270669833000284,37.275763124998775,38.25898033300473,6,1,0.2,0.5,0.7,38.259198832995025,38.26912345799792,38.26912345799792,38.26912345799792,38.26912345799792,38.26912345799792,0.003037999995285645,38.84238437500608,right,0.5687833750125719,None,right,0.5687833750125719,0.7,1,39.36206204199698,39.88215775000572,39.88215775000572,39.88215775000572,39.88215775000572,39.88215775000572,0.01804204098880291,41.378447583003435,1.5250729159888579,41.37933549999434,41.38045683299424,,,,,,,,,41.38057325000409,None,,,NA,NA,41.3815583329997,41.389571958003216,42.384415374996024,42.37440600000264,38.26912345799792,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
6,0,6,right,0.6144292919925647,None,None,,,6,0,6,0,42.384415374996024,,,,,,,,,42.37464212499617,42.384415374996024,43.370025416996214,7,1,0.2,0.5,0.7,43.370564249999006,43.37928862500121,43.37928862500121,43.37928862500121,43.37928862500121,43.37928862500121,0.0030453329964075238,44.00368912500562,right,0.6144292919925647,None,right,0.6144292919925647,0.7,1,44.52310416700493,45.03933387500001,45.03933387500001,45.03933387500001,45.03933387500001,45.03933387500001,0.017829625008744188,46.53434083299362,1.5194647500029532,46.534782083006576,46.53566883299209,,,,,,,,,46.53582649999589,None,,,NA,NA,46.53651229200477,46.542134499992244,47.535466208006255,47.52578395800083,43.37928862500121,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
7,0,7,right,0.4316339579963824,None,None,,,7,0,7,0,47.535466208006255,,,,,,,,,47.52590974999475,47.535466208006255,48.51979500000016,8,1,0.2,0.5,0.7,48.520212125004036,48.52982129200245,48.52982129200245,48.52982129200245,48.52982129200245,48.52982129200245,0.016184917010832578,49.06714266700146,right,0.4316339579963824,None,right,0.4316339579963824,0.7,1,49.58589554199716,50.10234379199392,50.10234379199392,50.10234379199392,50.10234379199392,50.10234379199392,0.01786279201041907,51.59398529199825,1.517736292007612,51.59433995799918,51.595291207995615,,,,,,,,,51.595400082995184,None,,,NA,NA,51.596047208004165,51.60277875000611,52.59375212500163,52.58737354200275,48.52982129200245,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
8,0,8,right,0.5819752920069732,None,None,,,8,0,8,0,52.59375212500163,,,,,,,,,52.587672666995786,52.59375212500163,53.587172582992935,9,1,0.2,0.5,0.7,53.58772679200047,53.59631941700354,53.59631941700354,53.59631941700354,53.59631941700354,53.59631941700354,0.001021042000502348,54.18813433300238,right,0.5819752920069732,None,right,0.5819752920069732,0.7,1,54.708784500006004,55.22408174999873,55.22408174999873,55.22408174999873,55.22408174999873,55.22408174999873,0.019148042003507726,56.71866233300534,1.5195509170007426,56.71901491700555,56.720512416999554,,,,,,,,,56.72064629200031,None,,,NA,NA,56.7213574579946,56.72744950000197,57.727470750003704,57.72056566699757,53.59631941700354,,,,,,,,,,,657613,001,2025-08-06_15h37.58.760,regret_experiment,2024.2.4,119.87952155205765,1,0.2,0.5,0.7,2025-08-06 15h38.16.092995 -0700,
