thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,start_eye.started,etRecord.started,start_eye.stopped,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,text.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,pointsText1.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYouMessage.stopped,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.05698575000860728,0.09536429200670682,0.09536429200670682,21.100893709008233,space,20.431451208991348,0.07190466600877699,,,,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
,,,,,,,,,,,,,,,,,,,,,,21.101061792011023,0.0001084160030586645,21.607383292008308,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
0,0,0,up,0.8522957080131164,None,None,,,0,0,0,0,21.620391208998626,,,,,,,,,,,,21.61525149999943,22.13064908400702,23.103974875004496,1,1,0.2,0.7,0.5,23.104562084001373,23.193517042003805,23.193517042003805,23.193517042003805,23.193517042003805,23.193517042003805,24.055243625000003,up,0.8522957080131164,None,up,0.8522957080131164,0.7,1,24.071502667007735,24.26097854200634,24.26097854200634,24.26097854200634,24.26097854200634,24.26097854200634,25.254143250000197,26.059791874999064,NA,NA,26.05985333400895,26.05991266699857,None,26.059990334004397,26.070651334011927,27.05962429200008,27.054344000003766,,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
1,0,1,left,0.30413774999033194,None,2,1.4148686250118772,None,1,0,1,0,27.05962429200008,,,,,,,,,,,,27.054480083999806,27.05962429200008,28.053479000009247,2,1,0.2,0.7,0.5,28.053780084010214,28.06252304201189,28.06252304201189,28.06252304201189,28.06252304201189,28.06252304201189,28.372115209000185,left,0.30413774999033194,None,left,0.30413774999033194,0.2,0,28.384852917006356,28.39625041700492,28.39625041700492,28.39625041700492,28.39625041700492,28.39625041700492,29.392896625009598,30.375941625010455,2,1.4148686250118772,30.383050959004322,31.813372792006703,2,31.81345058399893,31.823868250008672,32.8205718340032,32.809225334000075,28.06252304201189,30.39175841701217,30.39175841701217,30.39175841701217,30.39175841701217,30.39175841701217,30.39175841701217,1.4148686250118772,None,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
2,0,2,right,0.38797924999380484,None,3,1.327210165996803,None,2,0,2,0,32.8205718340032,,,,,,,,,,,,32.809451000008266,32.8205718340032,33.804538167009014,3,1,0.2,0.7,0.5,33.804812542002765,33.810647417005384,33.810647417005384,33.810647417005384,33.810647417005384,33.810647417005384,34.20560458399996,right,0.38797924999380484,None,right,0.38797924999380484,0.5,0,34.220090834001894,34.44842970900936,34.44842970900936,34.44842970900936,34.44842970900936,34.44842970900936,35.44277329200122,36.20925437500409,3,1.327210165996803,36.21564416700858,37.55498133400397,3,37.555053250005585,37.55977416700625,38.55971537499863,38.55434604200127,33.810647417005384,36.22335058401222,36.22335058401222,36.22335058401222,36.22335058401222,36.22335058401222,36.22335058401222,1.327210165996803,None,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
3,0,3,up,0.4070334999996703,None,None,,,3,0,3,0,38.55971537499863,,,,,,,,,,,,38.55446200000006,38.55971537499863,39.55329570900358,4,1,0.2,0.7,0.5,39.55360195900721,39.55921800000942,39.55921800000942,39.55921800000942,39.55921800000942,39.55921800000942,39.97122099999979,up,0.4070334999996703,None,up,0.4070334999996703,0.7,1,39.98296750000736,39.99046583400923,39.99046583400923,39.99046583400923,39.99046583400923,39.99046583400923,40.987423250000575,41.97639100000379,NA,NA,41.97644287500589,41.97648137500801,None,41.97656758400262,41.98691125000187,42.97617441701004,42.97126508400834,39.55921800000942,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
4,0,4,up,0.22701937500096392,None,None,,,4,0,4,0,42.97617441701004,,,,,,,,,,,,42.97154529200634,42.97617441701004,43.95959662500536,5,1,0.2,0.7,0.5,43.95985662500607,43.97063037499902,43.97063037499902,43.97063037499902,43.97063037499902,43.97063037499902,44.20438454201212,up,0.22701937500096392,None,up,0.22701937500096392,0.7,1,44.21790216700174,44.22777104200213,44.22777104200213,44.22777104200213,44.22777104200213,44.22777104200213,45.22071791700728,46.21047095900576,NA,NA,46.21053400001256,46.21057091699913,None,46.21066187501128,46.22038516700559,47.20962233400496,47.20432954200078,43.97063037499902,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
5,0,5,up,0.3149859999975888,None,5,1.1849898750078864,None,5,0,5,0,47.20962233400496,,,,,,,,,,,,47.20445779200236,47.20962233400496,48.19443358400895,6,1,0.2,0.7,0.5,48.19471166700532,48.20311629200296,48.20311629200296,48.20311629200296,48.20311629200296,48.20311629200296,48.52264204200765,up,0.3149859999975888,None,up,0.3149859999975888,0.7,0,48.53613479201158,48.54514454200398,48.54514454200398,48.54514454200398,48.54514454200398,48.54514454200398,49.54291212500539,50.526123542003916,5,1.1849898750078864,50.533393875011825,51.728208084008656,5,51.72832916700281,51.73644108400913,52.72580812500382,52.72067249999964,48.20311629200296,50.54138237499865,50.54138237499865,50.54138237499865,50.54138237499865,50.54138237499865,50.54138237499865,1.1849898750078864,None,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
6,0,6,left,0.9373705409961985,None,None,,,6,0,6,0,52.72580812500382,,,,,,,,,,,,52.720819000009215,52.72580812500382,53.713176834004116,7,1,0.2,0.7,0.5,53.71347312501166,53.719254374998854,53.719254374998854,53.719254374998854,53.719254374998854,53.719254374998854,54.66066608400433,left,0.9373705409961985,None,left,0.9373705409961985,0.2,1,54.672504917005426,54.680492167011835,54.680492167011835,54.680492167011835,54.680492167011835,54.680492167011835,55.675762833998306,56.67080808400351,NA,NA,56.6708367090032,56.670863667008234,None,56.67091516700748,56.67597408400616,57.670547292000265,57.659236459003296,53.719254374998854,,,,,,,,,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
7,0,7,left,0.3331955829926301,None,8,0.9018085410061758,None,7,0,7,0,57.670547292000265,,,,,,,,,,,,57.65934270901198,57.670547292000265,58.6546081250126,8,1,0.2,0.7,0.5,58.655487667012494,58.66483991700807,58.66483991700807,58.66483991700807,58.66483991700807,58.66483991700807,59.00515966700914,left,0.3331955829926301,None,left,0.3331955829926301,0.2,0,59.01894624999841,59.02783012500731,59.02783012500731,59.02783012500731,59.02783012500731,59.02783012500731,60.01944062500843,61.00950783400913,8,0.9018085410061758,61.0157862920023,61.9293018340104,8,61.929372334008804,61.93669412500458,62.92539241700433,62.920579750003526,58.66483991700807,61.02358904200082,61.02358904200082,61.02358904200082,61.02358904200082,61.02358904200082,61.02358904200082,0.9018085410061758,None,,,,,,,,,,,743427,001,2025-08-06_14h54.18.022,regret_experiment,2024.2.4,117.07476980460221,1,0.2,0.7,0.5,2025-08-06 14h54.32.305691 -0700,
