thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYouMessage.stopped,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.06808116599859204,0.1430560000007972,0.1430560000007972,3.654280499991728,space,2.9900757080031326,0.057709291999344714,,,,,,0,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
0,0,0,up,0.5060955840017414,None,None,0,0,0,0,4.1848058750038035,,,,,,,,,3.6611846659943694,4.1848058750038035,0.006862624999484979,4.654838916001609,1,0,0.2,0.5,0.7,4.655452374994638,4.667456374998437,4.667456374998437,4.667456374998437,4.667456374998437,4.667456374998437,5.180348333000438,up,0.5060955840017414,None,up,0.5060955840017414,0.5,0,5.197921957995277,5.422205832990585,5.422205832990585,5.422205832990585,5.422205832990585,5.422205832990585,6.412451999989571,7.180523749993881,NA,NA,7.181084665993694,7.181145458001993,None,7.181238040997414,7.187835415999871,8.17716962499253,8.171638125000754,,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
1,0,1,left,0.6681121669971617,None,None,1,0,1,0,8.17716962499253,,,,,,,,,8.172020124999108,8.17716962499253,0.006595083003048785,9.160246999992523,2,0,0.2,0.5,0.7,9.16056474999641,9.177018832997419,9.177018832997419,9.177018832997419,9.177018832997419,9.177018832997419,9.856083332997514,left,0.6681121669971617,None,left,0.6681121669971617,0.2,0,9.8733750829997,9.883358915991266,9.883358915991266,9.883358915991266,9.883358915991266,9.883358915991266,10.877316250000149,11.860960457997862,NA,NA,11.861508290996426,11.861556707997806,None,11.861608416002127,11.871143750002375,12.861289291002322,12.855912457991508,9.170968082995387,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
2,0,2,right,0.36727383399556857,None,None,2,0,2,0,12.861289291002322,,,,,,,,,12.856240416003857,12.861289291002322,-0.00019362499006092548,13.855428041002597,3,0,0.2,0.5,0.7,13.855665750001208,13.86113883300277,13.86113883300277,13.86113883300277,13.86113883300277,13.86113883300277,14.239150875000632,right,0.36727383399556857,None,right,0.36727383399556857,0.7,0,14.251746583002387,14.260300499998266,14.260300499998266,14.260300499998266,14.260300499998266,14.260300499998266,15.370792832996813,16.243519415991614,NA,NA,16.244082082994282,16.244122624993906,None,16.244177040993236,16.25412199999846,17.24551624999731,17.237993665999966,13.86113883300277,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
3,0,3,up,0.29916687500372063,None,None,3,0,3,0,17.24551624999731,,,,,,,,,17.238333665998653,17.24551624999731,0.001428957999451086,18.237781374991755,4,0,0.2,0.5,0.7,18.23804625000048,18.24465049999708,18.24465049999708,18.24465049999708,18.24465049999708,18.24465049999708,18.548333083002944,up,0.29916687500372063,None,up,0.29916687500372063,0.5,1,18.561978582991287,18.572823041002266,18.572823041002266,18.572823041002266,18.572823041002266,18.572823041002266,19.571591624990106,20.554721540989703,NA,NA,20.55516366599477,20.55521174999012,None,20.55528079099895,20.574209083002643,,21.559244541000226,18.24465049999708,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
4,0,4,up,0.2760981669998728,None,None,4,0,4,0,21.57055458299874,,,,,,,,,21.55985779099865,21.57055458299874,0.004629082992323674,22.55538783299562,5,0,0.2,0.5,0.7,22.55602912500035,22.584425166001893,22.584425166001893,22.584425166001893,22.584425166001893,22.584425166001893,22.86303704099555,up,0.2760981669998728,None,up,0.2760981669998728,0.5,0,22.87867395799549,22.89354008299415,22.89354008299415,22.89354008299415,22.89354008299415,22.89354008299415,23.887193332993775,24.871168540994404,NA,NA,24.87149983299605,24.871544540990726,None,24.871625624989974,24.877742124997894,25.871282374995644,25.86192954100261,22.584425166001893,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
5,0,5,left,0.30251137500454206,None,None,5,0,5,0,25.871282374995644,,,,,,,,,25.862231332997908,25.871282374995644,-0.0002204589982284233,26.854628040993703,6,0,0.2,0.5,0.7,26.854865415996755,26.86210874999233,26.86210874999233,26.86210874999233,26.86210874999233,26.86210874999233,27.174046082989662,left,0.30251137500454206,None,left,0.30251137500454206,0.2,0,27.18942270799016,27.199034749995917,27.199034749995917,27.199034749995917,27.199034749995917,27.199034749995917,28.19540433298971,29.176896165998187,NA,NA,29.177457500001765,29.177498082994134,None,29.177559999996447,29.18789545800246,30.17704004100233,30.171849374994054,26.86210874999233,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
6,0,6,right,0.2893481249921024,None,None,6,0,6,0,30.17704004100233,,,,,,,,,30.172216207996826,30.17704004100233,-0.0003837910044239834,31.160896375004086,7,0,0.2,0.5,0.7,31.16116691599018,31.171082415996352,31.171082415996352,31.171082415996352,31.171082415996352,31.171082415996352,31.470952332994784,right,0.2893481249921024,None,right,0.2893481249921024,0.7,0,31.484362165996572,31.49358654099342,31.49358654099342,31.49358654099342,31.49358654099342,31.49358654099342,32.4876903330005,33.47129666600085,NA,NA,33.47170720799477,33.471773707991815,None,33.47189512499608,33.47696604099474,34.47704337499454,34.471360875002574,31.171082415996352,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
7,0,7,up,0.22376754200377036,None,None,7,0,7,0,34.47704337499454,,,,,,,,,34.47189395799069,34.47704337499454,7.916700269561261e-05,35.461537499999395,8,0,0.2,0.5,0.7,35.46177783299936,35.46999387499818,35.46999387499818,35.46999387499818,35.46999387499818,35.46999387499818,35.70051454099303,up,0.22376754200377036,None,up,0.22376754200377036,0.5,0,35.72024029098975,35.73498799999652,35.73498799999652,35.73498799999652,35.73498799999652,35.73498799999652,36.726089832998696,37.703869916003896,NA,NA,37.704363083001226,37.70442833300331,None,37.704553000003216,37.710358875003294,38.70991562498966,38.70420708299207,35.46999387499818,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
8,0,8,left,0.17027212500397582,None,None,8,0,8,0,38.70991562498966,,,,,,,,,38.70470000000205,38.70991562498966,0.00023637499543838203,39.69433487499191,9,0,0.2,0.5,0.7,39.694568749997416,39.70333566599584,39.70333566599584,39.70333566599584,39.70333566599584,39.70333566599584,39.903087165992474,left,0.17027212500397582,None,left,0.17027212500397582,0.2,1,39.96302129099786,40.07993191599962,40.07993191599962,40.07993191599962,40.07993191599962,40.07993191599962,41.07828108299873,41.90391266599181,NA,NA,41.9043025830033,41.904371665994404,None,41.90476512500027,41.910338374989806,42.910541374993045,42.90457004099153,39.70333566599584,,,,,,,,,,903406,001,2025-08-06_16h07.51.977,regret_experiment,2024.2.4,None,0,0.2,0.5,0.7,2025-08-06 16h08.15.806592 -0700,
