thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,etRecord_5.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,pointsText1.stopped,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,RegretRating.started,text.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,ThankYou.started,ThankYouMessage.started,ThankYouMessage.stopped,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.046569917001761496,0.5660365840012673,0.5660365840012673,0.04619187500793487,5.78564795901184,space,4.793030834000092,0.07772375000058673,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
0,0,0,up,1.0352247499977238,None,1,4.50054550000641,None,0,0,0,0,5.8041337090107845,,,,,,,,,,5.787199709011475,5.8041337090107845,6.791430249999394,1,1,0.5,0.7,0.2,6.791464916997938,6.801448167010676,6.801448167010676,6.801448167010676,6.801448167010676,6.801448167010676,7.795658167000511,7.843218916998012,up,1.0352247499977238,None,up,1.0352247499977238,0.7,0,7.8581312090100255,8.027715834003175,8.027715834003175,8.027715834003175,8.027715834003175,8.027715834003175,9.024755042002653,9.848721417001798,9.855066208998323,9.864983792009298,9.864983792009298,9.864983792009298,9.864983792009298,9.864983792009298,9.864983792009298,14.367201875007595,1,4.50054550000641,None,1,4.50054550000641,14.36727862500993,14.375028000009479,15.373414417001186,15.363636167006916,,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
1,0,1,up,4.762585125004989,None,None,,,1,0,1,0,15.373414417001186,,,,,,,,,,15.363775917008752,15.373414417001186,16.35811816700152,2,1,0.5,0.7,0.2,16.358202125004027,16.363950459010084,16.363950459010084,16.363950459010084,16.363950459010084,16.363950459010084,17.363338667011703,21.130734709004173,up,4.762585125004989,None,up,4.762585125004989,0.7,1,21.143717334009125,21.15281904200674,21.15281904200674,21.15281904200674,21.15281904200674,21.15281904200674,22.147331875006785,23.132691874998272,23.13274308400287,,,,,,,23.132787042006385,None,,,NA,NA,23.132874375005485,23.140726917001302,24.128783834006754,24.124006875004852,16.363950459010084,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
2,0,2,left,1.084071250006673,None,2,1.3901981669914676,None,2,0,2,0,24.128783834006754,,,,,,,,,,24.124157709011342,24.128783834006754,25.112060584011488,3,1,0.5,0.7,0.2,25.112084167005378,25.1295397089998,25.1295397089998,25.1295397089998,25.1295397089998,25.1295397089998,26.12381808400096,26.22619929201028,left,1.084071250006673,None,left,1.084071250006673,0.5,0,26.240365417004796,26.249084374998347,26.249084374998347,26.249084374998347,26.249084374998347,26.249084374998347,27.241297625005245,28.230485042004148,28.239281667003524,28.246584125008667,28.246584125008667,28.246584125008667,28.246584125008667,28.246584125008667,28.246584125008667,29.643736084006377,2,1.3901981669914676,None,2,1.3901981669914676,29.643827042003977,29.650688875000924,30.645162542001344,30.64024641700962,25.123248333999072,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
3,0,3,right,0.971497584003373,None,2,0.5205223749944707,None,3,0,3,0,30.645162542001344,,,,,,,,,,30.64040745901002,30.645162542001344,31.63172454200685,4,1,0.5,0.7,0.2,31.63177025000914,31.641421250009444,31.641421250009444,31.641421250009444,31.641421250009444,31.641421250009444,,32.61761016699893,right,0.971497584003373,None,right,0.971497584003373,0.2,0,32.63020308400155,32.63763941700745,32.63763941700745,32.63763941700745,32.63763941700745,32.63763941700745,33.63138658400567,34.624524667000514,34.632961750001414,34.63943379200646,34.63943379200646,34.63943379200646,34.63943379200646,34.63943379200646,34.63943379200646,35.16497866700229,2,0.5205223749944707,None,2,0.5205223749944707,35.165052084004856,35.17362325001159,36.16434083400236,36.158599709000555,31.641421250009444,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
4,0,4,up,0.23854466699413024,None,None,,,4,0,4,0,36.16434083400236,,,,,,,,,,36.15887900000962,36.16434083400236,37.158953667007154,5,1,0.5,0.7,0.2,37.159018584003206,37.16552520899859,37.16552520899859,37.16552520899859,37.16552520899859,37.16552520899859,,37.40841979200195,up,0.23854466699413024,None,up,0.23854466699413024,0.7,1,37.420169125005486,37.4284515420004,37.4284515420004,37.4284515420004,37.4284515420004,37.4284515420004,38.42460529200616,39.41266237500531,39.41271487499762,,,,,,,39.41275875001156,None,,,NA,NA,39.41285429200798,39.42466470900399,40.41441433400905,40.40815395901154,37.16552520899859,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
5,0,5,up,0.24552845899597742,None,None,,,5,0,5,0,40.41441433400905,,,,,,,,,,40.40826466699946,40.41441433400905,41.39764470900991,6,1,0.5,0.7,0.2,41.39767070900416,41.40719287500542,41.40719287500542,41.40719287500542,41.40719287500542,41.40719287500542,,41.65941604200634,up,0.24552845899597742,None,up,0.24552845899597742,0.7,1,41.67042033400503,41.67917362500157,41.67917362500157,41.67917362500157,41.67917362500157,41.67917362500157,42.67454175000603,43.66233233400271,43.66239887500706,,,,,,,43.66243704200315,None,,,NA,NA,43.662545500003034,43.6734940840106,44.66308670899889,44.65820916699886,41.40719287500542,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
6,0,6,up,1.468210374994669,None,None,,,6,0,6,0,44.66308670899889,,,,,,,,,,44.65833887500048,44.66308670899889,45.646255291998386,7,1,0.5,0.7,0.2,45.6462878750026,45.657764917006716,45.657764917006716,45.657764917006716,45.657764917006716,45.657764917006716,46.64603695900587,47.13279124999826,up,1.468210374994669,None,up,1.468210374994669,0.7,1,47.14480254201044,47.153858375007985,47.153858375007985,47.153858375007985,47.153858375007985,47.153858375007985,48.14636145900295,49.140721208998,49.140750792008475,,,,,,,49.140793958998984,None,,,NA,NA,49.14085233400692,49.145564584003296,50.139999459002865,50.13094704200921,45.657764917006716,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
7,0,7,up,0.35175229200103786,None,None,,,7,0,7,0,50.139999459002865,,,,,,,,,,50.131079167011194,50.139999459002865,51.12343904199952,8,1,0.5,0.7,0.2,51.123484249998,51.14076691700029,51.14076691700029,51.14076691700029,51.14076691700029,51.14076691700029,,51.49905804199807,up,0.35175229200103786,None,up,0.35175229200103786,0.7,1,51.51053325000976,51.51933220900537,51.51933220900537,51.51933220900537,51.51933220900537,51.51933220900537,52.51210995900328,53.507093334003,53.507128625002224,,,,,,,53.50716058400576,None,,,NA,NA,53.507214917000965,53.51223129199934,54.50726887500787,54.49599395900441,51.13090800000646,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
8,0,8,left,0.40118999998958316,None,None,,,8,0,8,0,54.50726887500787,,,,,,,,,,54.49616304200026,54.50726887500787,55.491165167011786,9,1,0.5,0.7,0.2,55.49121529200056,55.4994030000089,55.4994030000089,55.4994030000089,55.4994030000089,55.4994030000089,,55.90891041699797,left,0.40118999998958316,None,left,0.40118999998958316,0.5,1,55.92138220900961,55.93011004199798,55.93011004199798,55.93011004199798,55.93011004199798,55.93011004199798,56.92948504201195,57.91289258400502,57.912947083998006,,,,,,,57.91299137500755,None,,,NA,NA,57.91307750000851,57.923927334006294,58.91247208400455,58.907882084007724,55.4994030000089,,,,,,,,,,903540,001,2025-08-06_14h40.14.056,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-08-06 14h40.25.632360 -0700,
